Electricity:Facility,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days,tc1,tc2,tc3
373753.5385,-2.113575269,70.30320341,156.7973417,31,11.46367241,8.822750617,0.603388064
348803.1776,1.942956349,62.61458333,188.2471892,28,11.46367241,8.822750617,0.603388064
399885.0717,5.43313172,62.39908154,197.9807721,31,11.46367241,8.822750617,0.603388064
415169.3651,12.56460648,68.95763889,135.3763503,30,11.46367241,8.822750617,0.603388064
503568.4254,17.91901882,74.3156362,192.3388217,31,11.46367241,8.822750617,0.603388064
536915.5964,22.21377315,69.30104167,225.3063657,30,11.46367241,8.822750617,0.603388064
584725.9711,26.66420251,66.30790771,284.5905765,31,11.46367241,8.822750617,0.603388064
579288.5359,23.04596774,77.16319444,219.8065636,31,11.46367241,8.822750617,0.603388064
524758.4731,20.35770833,84.16527778,153.3049769,30,11.46367241,8.822750617,0.603388064
441748.68,12.89782706,75.73711918,157.4538157,31,11.46367241,8.822750617,0.603388064
396504.9306,9.760949074,74.10636574,128.5277006,30,11.46367241,8.822750617,0.603388064
385174.8991,5.489852151,75.55857975,140.3433766,31,11.46367241,8.822750617,0.603388064
453312.4783,-2.113575269,70.30320341,156.7973417,31,12.21243912,12.88779088,0.699140993
423792.5869,1.942956349,62.61458333,188.2471892,28,12.21243912,12.88779088,0.699140993
486774.3265,5.43313172,62.39908154,197.9807721,31,12.21243912,12.88779088,0.699140993
500747.4289,12.56460648,68.95763889,135.3763503,30,12.21243912,12.88779088,0.699140993
601442.1464,17.91901882,74.3156362,192.3388217,31,12.21243912,12.88779088,0.699140993
639251.4178,22.21377315,69.30104167,225.3063657,30,12.21243912,12.88779088,0.699140993
692720.8235,26.66420251,66.30790771,284.5905765,31,12.21243912,12.88779088,0.699140993
689799.4532,23.04596774,77.16319444,219.8065636,31,12.21243912,12.88779088,0.699140993
623662.0711,20.35770833,84.16527778,153.3049769,30,12.21243912,12.88779088,0.699140993
531067.2648,12.89782706,75.73711918,157.4538157,31,12.21243912,12.88779088,0.699140993
479240.9297,9.760949074,74.10636574,128.5277006,30,12.21243912,12.88779088,0.699140993
467299.842,5.489852151,75.55857975,140.3433766,31,12.21243912,12.88779088,0.699140993
412066.3571,-2.113575269,70.30320341,156.7973417,31,9.320165912,12.4121333,0.621491246
384205.3219,1.942956349,62.61458333,188.2471892,28,9.320165912,12.4121333,0.621491246
440129.4514,5.43313172,62.39908154,197.9807721,31,9.320165912,12.4121333,0.621491246
455249.0119,12.56460648,68.95763889,135.3763503,30,9.320165912,12.4121333,0.621491246
549303.0126,17.91901882,74.3156362,192.3388217,31,9.320165912,12.4121333,0.621491246
583640.9351,22.21377315,69.30104167,225.3063657,30,9.320165912,12.4121333,0.621491246
636427.7101,26.66420251,66.30790771,284.5905765,31,9.320165912,12.4121333,0.621491246
629897.8692,23.04596774,77.16319444,219.8065636,31,9.320165912,12.4121333,0.621491246
570899.7593,20.35770833,84.16527778,153.3049769,30,9.320165912,12.4121333,0.621491246
483970.5923,12.89782706,75.73711918,157.4538157,31,9.320165912,12.4121333,0.621491246
435768.7127,9.760949074,74.10636574,128.5277006,30,9.320165912,12.4121333,0.621491246
