,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
y_pred__0,-0.8682691497241336,0.03684173600292684,0.0019569948843181457,-0.9390210133463217,-0.799037024805514,298.6610506428659,0.9998252866013166
y_pred__1,-1.0644874705768443,0.05437453735372017,0.0030067445174946235,-1.1815821909881907,-0.9685365006206633,298.66532273534364,1.0078674513780737
y_pred__2,-0.45207436919720173,0.02807626705115852,0.001415162718916493,-0.5048923110905637,-0.39847846550461563,357.0149533950251,1.0020589518172027
y_pred__3,-0.44902494397635473,0.1639730411275256,0.010141311652206471,-0.7440077371495895,-0.12309108083326732,168.84946832710222,1.0065182042110958
y_pred__4,0.6855275963059873,0.01908651378608553,0.0010711559964520156,0.6473232702739645,0.7211753235221313,211.39528392684588,0.9980682066437742
y_pred__5,0.8261073996009815,0.03736912086632424,0.0023700001021478975,0.7636152299903722,0.9008045296457639,132.007230984214,1.0042843793092948
y_pred__6,1.2540811212584888,0.1413111168809006,0.008628377018131687,0.9770354159716927,1.5201519764498874,158.53403936094892,1.000899166518718
y_pred__7,1.3945796342887182,0.04402023777975636,0.002646859956146324,1.317155656694043,1.483872112042709,156.84658590901896,0.9983844170274977
y_pred__8,0.798131334520533,0.07704036892394575,0.004283824491031505,0.6573401598286993,0.9569374623377147,227.45457216927568,0.9981533295057161
y_pred__9,-0.21203971012160774,0.0433467811411935,0.0024337151341119953,-0.30139290714763545,-0.13298364906600266,252.19161811906505,1.0100987238476506
y_pred__10,-0.9774407621048719,0.030077056054938305,0.0017483351638625376,-1.0318078706987466,-0.9149700367852087,247.55686312504304,1.0087507641414417
y_pred__11,-1.061568203920763,0.14817440346977176,0.009010214119340384,-1.3309449294153035,-0.7319288364598409,216.01150409600442,1.0146133042981864
eta,2.815140950662179,0.4979986742764212,0.02206746309598073,2.0098686227685696,3.8880527491525743,484.0741332196142,0.9980698191206177
lengthscale__0,0.9315594470231422,0.1230734236153244,0.005673237110894337,0.7239956486350233,1.1655720113372952,365.64539215074564,1.0007427943033158
lengthscale__1,2.2790249368734252,0.4087169031460486,0.017229850463334674,1.5472540133400303,3.020880260102371,576.017788832526,0.9989674788903486
lengthscale__2,2.447677197912446,0.6761704949532384,0.02941027667168472,1.4568887095843768,3.70336892293938,475.05182741602874,0.999603158434252
lengthscale__3,5.32723921526078,1.0846105941634012,0.0439718138611536,3.110799713837782,7.107707338044612,669.0815753761572,0.9997829631242209
lengthscale__4,8.16461621490179,1.3864966136176156,0.05956404087533549,5.588984335950119,10.880513412021754,453.8217836385521,0.9981342828300652
lengthscale__5,5.661268320645362,0.8391683773597702,0.03782106207731213,4.1126644446570895,7.080800278582186,572.8694534390087,0.9982734386035136
lengthscale__6,11.446044145567805,1.469298084397382,0.0661704719171761,8.67491084074984,14.039182988410705,574.4281101976137,0.9980065572003605
tf__0,0.40476378686456094,0.059641168081801685,0.003178797901627173,0.3011510109003425,0.5218333934961495,235.96346341332932,0.9994007379862511
tf__1,0.5431945647380988,0.03844748571835727,0.0020164074438479606,0.4654335637741117,0.610000656982186,246.05116320931725,1.0002786113277047
tf__2,0.3888046431866342,0.06830070748787236,0.0028095376719904095,0.25380408843603425,0.5248400860339324,446.28195557960464,1.0000446663794718
sigma1,0.0025389866973863535,0.00011287513787533664,4.213882827818539e-06,0.0023123021126404196,0.0027506391113026212,693.3410778782014,0.9985139494215959
