Electricity:Facility,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days,tc1,tc2,tc3,tc4
393208.9992,-2.113575269,70.30320341,156.7973417,31,10.16945496,10.781798,0.607442475,0.000276819
366709.0086,1.942956349,62.61458333,188.2471892,28,10.16945496,10.781798,0.607442475,0.000276819
420252.3018,5.43313172,62.39908154,197.9807721,31,10.16945496,10.781798,0.607442475,0.000276819
435534.4461,12.56460648,68.95763889,135.3763503,30,10.16945496,10.781798,0.607442475,0.000276819
526630.4859,17.91901882,74.3156362,192.3388217,31,10.16945496,10.781798,0.607442475,0.000276819
560763.6576,22.21377315,69.30104167,225.3063657,30,10.16945496,10.781798,0.607442475,0.000276819
610500.0565,26.66420251,66.30790771,284.5905765,31,10.16945496,10.781798,0.607442475,0.000276819
604915.5777,23.04596774,77.16319444,219.8065636,31,10.16945496,10.781798,0.607442475,0.000276819
548416.1619,20.35770833,84.16527778,153.3049769,30,10.16945496,10.781798,0.607442475,0.000276819
463110.8445,12.89782706,75.73711918,157.4538157,31,10.16945496,10.781798,0.607442475,0.000276819
416492.9669,9.760949074,74.10636574,128.5277006,30,10.16945496,10.781798,0.607442475,0.000276819
405315.6739,5.489852151,75.55857975,140.3433766,31,10.16945496,10.781798,0.607442475,0.000276819
436791.8008,-2.113575269,70.30320341,156.7973417,31,11.68064371,12.01327042,0.485287383,0.000278213
407768.8339,1.942956349,62.61458333,188.2471892,28,11.68064371,12.01327042,0.485287383,0.000278213
468173.3043,5.43313172,62.39908154,197.9807721,31,11.68064371,12.01327042,0.485287383,0.000278213
483206.173,12.56460648,68.95763889,135.3763503,30,11.68064371,12.01327042,0.485287383,0.000278213
582849.0996,17.91901882,74.3156362,192.3388217,31,11.68064371,12.01327042,0.485287383,0.000278213
619930.1337,22.21377315,69.30104167,225.3063657,30,11.68064371,12.01327042,0.485287383,0.000278213
672818.6637,26.66420251,66.30790771,284.5905765,31,11.68064371,12.01327042,0.485287383,0.000278213
668865.9682,23.04596774,77.16319444,219.8065636,31,11.68064371,12.01327042,0.485287383,0.000278213
605741.6311,20.35770833,84.16527778,153.3049769,30,11.68064371,12.01327042,0.485287383,0.000278213
514008.3298,12.89782706,75.73711918,157.4538157,31,11.68064371,12.01327042,0.485287383,0.000278213
462512.6591,9.760949074,74.10636574,128.5277006,30,11.68064371,12.01327042,0.485287383,0.000278213
450148.4853,5.489852151,75.55857975,140.3433766,31,11.68064371,12.01327042,0.485287383,0.000278213
366093.1296,-2.113575269,70.30320341,156.7973417,31,9.516198429,9.517107327,0.49673886,0.000314678
340919.3813,1.942956349,62.61458333,188.2471892,28,9.516198429,9.517107327,0.49673886,0.000314678
389713.7255,5.43313172,62.39908154,197.9807721,31,9.516198429,9.517107327,0.49673886,0.000314678
405810.5829,12.56460648,68.95763889,135.3763503,30,9.516198429,9.517107327,0.49673886,0.000314678
492990.8731,17.91901882,74.3156362,192.3388217,31,9.516198429,9.517107327,0.49673886,0.000314678
525791.9909,22.21377315,69.30104167,225.3063657,30,9.516198429,9.517107327,0.49673886,0.000314678
575229.7551,26.66420251,66.30790771,284.5905765,31,9.516198429,9.517107327,0.49673886,0.000314678
567365.4699,23.04596774,77.16319444,219.8065636,31,9.516198429,9.517107327,0.49673886,0.000314678
514765.234,20.35770833,84.16527778,153.3049769,30,9.516198429,9.517107327,0.49673886,0.000314678
432615.2828,12.89782706,75.73711918,157.4538157,31,9.516198429,9.517107327,0.49673886,0.000314678
387906.3119,9.760949074,74.10636574,128.5277006,30,9.516198429,9.517107327,0.49673886,0.000314678
376735.5452,5.489852151,75.55857975,140.3433766,31,9.516198429,9.517107327,0.49673886,0.000314678
394875.8892,-2.113575269,70.30320341,156.7973417,31,9.759885125,11.01346341,0.524402353,0.000289916
367854.5103,1.942956349,62.61458333,188.2471892,28,9.759885125,11.01346341,0.524402353,0.000289916
421323.6178,5.43313172,62.39908154,197.9807721,31,9.759885125,11.01346341,0.524402353,0.000289916
436897.2431,12.56460648,68.95763889,135.3763503,30,9.759885125,11.01346341,0.524402353,0.000289916
528663.9162,17.91901882,74.3156362,192.3388217,31,9.759885125,11.01346341,0.524402353,0.000289916
563146.9976,22.21377315,69.30104167,225.3063657,30,9.759885125,11.01346341,0.524402353,0.000289916
613888.1381,26.66420251,66.30790771,284.5905765,31,9.759885125,11.01346341,0.524402353,0.000289916
607726.2525,23.04596774,77.16319444,219.8065636,31,9.759885125,11.01346341,0.524402353,0.000289916
551017.8202,20.35770833,84.16527778,153.3049769,30,9.759885125,11.01346341,0.524402353,0.000289916
465014.7115,12.89782706,75.73711918,157.4538157,31,9.759885125,11.01346341,0.524402353,0.000289916
418050.5898,9.760949074,74.10636574,128.5277006,30,9.759885125,11.01346341,0.524402353,0.000289916
406690.7166,5.489852151,75.55857975,140.3433766,31,9.759885125,11.01346341,0.524402353,0.000289916
419237.3259,-2.113575269,70.30320341,156.7973417,31,10.18954883,12.27102557,0.663856885,0.000322433
391103.546,1.942956349,62.61458333,188.2471892,28,10.18954883,12.27102557,0.663856885,0.000322433
448269.6932,5.43313172,62.39908154,197.9807721,31,10.18954883,12.27102557,0.663856885,0.000322433
463042.8778,12.56460648,68.95763889,135.3763503,30,10.18954883,12.27102557,0.663856885,0.000322433
558216.3097,17.91901882,74.3156362,192.3388217,31,10.18954883,12.27102557,0.663856885,0.000322433
593154.9772,22.21377315,69.30104167,225.3063657,30,10.18954883,12.27102557,0.663856885,0.000322433
645562.2226,26.66420251,66.30790771,284.5905765,31,10.18954883,12.27102557,0.663856885,0.000322433
639998.8126,23.04596774,77.16319444,219.8065636,31,10.18954883,12.27102557,0.663856885,0.000322433
580089.9987,20.35770833,84.16527778,153.3049769,30,10.18954883,12.27102557,0.663856885,0.000322433
491776.6253,12.89782706,75.73711918,157.4538157,31,10.18954883,12.27102557,0.663856885,0.000322433
443058.7201,9.760949074,74.10636574,128.5277006,30,10.18954883,12.27102557,0.663856885,0.000322433
431849.5034,5.489852151,75.55857975,140.3433766,31,10.18954883,12.27102557,0.663856885,0.000322433
356662.7961,-2.113575269,70.30320341,156.7973417,31,9.75249449,8.902222984,0.519042773,0.000246844
332277.1194,1.942956349,62.61458333,188.2471892,28,9.75249449,8.902222984,0.519042773,0.000246844
380390.897,5.43313172,62.39908154,197.9807721,31,9.75249449,8.902222984,0.519042773,0.000246844
396384.6308,12.56460648,68.95763889,135.3763503,30,9.75249449,8.902222984,0.519042773,0.000246844
482362.4182,17.91901882,74.3156362,192.3388217,31,9.75249449,8.902222984,0.519042773,0.000246844
514737.0094,22.21377315,69.30104167,225.3063657,30,9.75249449,8.902222984,0.519042773,0.000246844
562512.4938,26.66420251,66.30790771,284.5905765,31,9.75249449,8.902222984,0.519042773,0.000246844
555198.0109,23.04596774,77.16319444,219.8065636,31,9.75249449,8.902222984,0.519042773,0.000246844
503497.51,20.35770833,84.16527778,153.3049769,30,9.75249449,8.902222984,0.519042773,0.000246844
422585.9749,12.89782706,75.73711918,157.4538157,31,9.75249449,8.902222984,0.519042773,0.000246844
379070.7049,9.760949074,74.10636574,128.5277006,30,9.75249449,8.902222984,0.519042773,0.000246844
367649.6563,5.489852151,75.55857975,140.3433766,31,9.75249449,8.902222984,0.519042773,0.000246844
