,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
y_pred__0,-0.8297953021389304,0.019389984609247624,0.000762489208371704,-0.8631598482989228,-0.7901371702294073,492.81067879966963,1.0106041010568232
y_pred__1,-1.1423955941231048,0.03666856152992834,0.0019461427159063328,-1.2127808855980815,-1.076119506819014,327.52690977684676,0.9991171282908735
y_pred__2,-0.42761998193981293,0.013582080134377105,0.0006466335884934601,-0.4583234549799475,-0.40416262867068536,400.557800643411,0.9992607957814585
y_pred__3,-0.45688720434797725,0.07749717798791333,0.0036164539895211607,-0.6206710869727651,-0.3108842066260137,365.0380354828674,0.9981008870829214
y_pred__4,0.6626506224879567,0.01097988445980164,0.0006816550981999184,0.6414096582073089,0.6830861274013873,194.37788097428543,0.9980957084457718
y_pred__5,0.7960493555970772,0.0186322469700387,0.0010382447932552373,0.7612759961625563,0.8329940239463282,284.37668640467166,1.0012922419996493
y_pred__6,1.2118011232753085,0.0853722664452694,0.005452862249701708,1.0525080382931604,1.3795550498493672,215.18744289446394,0.9984786715615053
y_pred__7,1.350161956805433,0.024711498453741747,0.001563668695995173,1.3069771340510274,1.4010327445742476,198.09556150983315,0.9990740843579142
y_pred__8,0.7790465634957581,0.044268074521125876,0.0028075648052440882,0.6934040733484892,0.8615434200105191,193.71244479545402,0.9989495204447181
y_pred__9,-0.21586249369622507,0.023241912850260744,0.0014069164901706409,-0.25915150094299566,-0.1705190062003428,230.21480937264826,0.9980414970761291
y_pred__10,-0.9264196676515908,0.015606599316618853,0.0008606851002207515,-0.9548430303910674,-0.8981383349992743,271.02777208634785,0.9981188729957479
y_pred__11,-1.0699849856121975,0.07720241193226272,0.00428831734646924,-1.2266836963777095,-0.9270561577611562,276.94154137273824,0.9986512901088396
eta,2.4142836077017082,0.4427288577907888,0.022214152772035072,1.6954486694186388,3.351967763389777,352.94120135014964,1.0019329089388882
lengthscale__0,1.0699129201798463,0.13375401697925546,0.007485400659253823,0.8411570344005793,1.344901481830899,265.036226480411,1.0026759748021215
lengthscale__1,2.796266821959698,0.4943361713531799,0.026688604700941664,1.9079483850823002,3.723686169260342,291.69584746600054,0.9988277387412609
lengthscale__2,3.079575459023589,0.8927855366676894,0.04767519187999754,1.6841417540103882,4.94191110423603,281.0172263198039,1.0004882224361311
lengthscale__3,7.436289523592793,1.3917780445000227,0.05494162253157937,4.726340114560687,9.91071410218815,589.0519509833108,0.9981848176759465
lengthscale__4,3.5868932936654963,0.492741948242367,0.02193819203495265,2.715157093018183,4.589143800500995,407.8879456197933,0.9986925688087305
lengthscale__5,3.4786448604837674,0.8172246851592342,0.03870215110407242,2.2014900032185003,5.3432306728720125,407.32546200294826,0.9980142662086415
lengthscale__6,7.194924196364745,1.533042626150276,0.07115282392834307,4.070724874751401,9.891756187668431,329.628470529956,1.0050190437655868
lengthscale__7,16.165853234017455,4.098874661852782,0.20864229372295587,8.27893342579042,23.660514272692684,308.92465870992675,0.9983250206690504
tf__0,0.40372453272753334,0.06174404190582446,0.0033058306022605067,0.2748833627721975,0.523691790318008,299.7083995143563,1.0032827168557994
tf__1,0.5554917416432801,0.040167103592331374,0.002125784901695445,0.4787326788349666,0.6426388353373467,308.5718891019587,1.0033480249703388
tf__2,0.39892633239532677,0.05023423971818761,0.0020349620452726393,0.29710669894225167,0.49206331374483736,656.9260604489548,0.9980052449806451
tf__3,0.4998998975619205,0.1593402432550903,0.007279131145444623,0.21537394885877778,0.8103995338505037,505.1228573316973,1.0026945325704315
sigma1,0.002098534643768293,0.00013677202052232018,5.5836580596775866e-06,0.0018443072245291322,0.0023718887232571048,412.77240045503294,1.0039575186036531
