Electricity:Facility,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days,tc1,tc2,tc3,tc4,tc5
427471.2176,-2.113575269,70.30320341,156.7973417,31,12.01111153,11.55917601,0.699749819,0.000323983,5.775742709
399112.5333,1.942956349,62.61458333,188.2471892,28,12.01111153,11.55917601,0.699749819,0.000323983,5.775742709
458099.047,5.43313172,62.39908154,197.9807721,31,12.01111153,11.55917601,0.699749819,0.000323983,5.775742709
470785.8897,12.56460648,68.95763889,135.3763503,30,12.01111153,11.55917601,0.699749819,0.000323983,5.775742709
564492.4587,17.91901882,74.3156362,192.3388217,31,12.01111153,11.55917601,0.699749819,0.000323983,5.775742709
599265.1779,22.21377315,69.30104167,225.3063657,30,12.01111153,11.55917601,0.699749819,0.000323983,5.775742709
647500.1641,26.66420251,66.30790771,284.5905765,31,12.01111153,11.55917601,0.699749819,0.000323983,5.775742709
645548.6568,23.04596774,77.16319444,219.8065636,31,12.01111153,11.55917601,0.699749819,0.000323983,5.775742709
585333.1255,20.35770833,84.16527778,153.3049769,30,12.01111153,11.55917601,0.699749819,0.000323983,5.775742709
499457.1993,12.89782706,75.73711918,157.4538157,31,12.01111153,11.55917601,0.699749819,0.000323983,5.775742709
451083.2231,9.760949074,74.10636574,128.5277006,30,12.01111153,11.55917601,0.699749819,0.000323983,5.775742709
440060.972,5.489852151,75.55857975,140.3433766,31,12.01111153,11.55917601,0.699749819,0.000323983,5.775742709
402126.5821,-2.113575269,70.30320341,156.7973417,31,12.75270681,9.662575978,0.704025992,0.000305909,6.192374021
375423.8543,1.942956349,62.61458333,188.2471892,28,12.75270681,9.662575978,0.704025992,0.000305909,6.192374021
431089.767,5.43313172,62.39908154,197.9807721,31,12.75270681,9.662575978,0.704025992,0.000305909,6.192374021
442066.5726,12.56460648,68.95763889,135.3763503,30,12.75270681,9.662575978,0.704025992,0.000305909,6.192374021
529591.2242,17.91901882,74.3156362,192.3388217,31,12.75270681,9.662575978,0.704025992,0.000305909,6.192374021
560704.0053,22.21377315,69.30104167,225.3063657,30,12.75270681,9.662575978,0.704025992,0.000305909,6.192374021
603555.305,26.66420251,66.30790771,284.5905765,31,12.75270681,9.662575978,0.704025992,0.000305909,6.192374021
602748.0489,23.04596774,77.16319444,219.8065636,31,12.75270681,9.662575978,0.704025992,0.000305909,6.192374021
547035.0369,20.35770833,84.16527778,153.3049769,30,12.75270681,9.662575978,0.704025992,0.000305909,6.192374021
469437.7486,12.89782706,75.73711918,157.4538157,31,12.75270681,9.662575978,0.704025992,0.000305909,6.192374021
424164.7833,9.760949074,74.10636574,128.5277006,30,12.75270681,9.662575978,0.704025992,0.000305909,6.192374021
413840.8103,5.489852151,75.55857975,140.3433766,31,12.75270681,9.662575978,0.704025992,0.000305909,6.192374021
380577.8639,-2.113575269,70.30320341,156.7973417,31,9.567166797,10.53488365,0.671941595,0.000313655,6.574775984
354351.8535,1.942956349,62.61458333,188.2471892,28,9.567166797,10.53488365,0.671941595,0.000313655,6.574775984
405568.4352,5.43313172,62.39908154,197.9807721,31,9.567166797,10.53488365,0.671941595,0.000313655,6.574775984
416113.4187,12.56460648,68.95763889,135.3763503,30,9.567166797,10.53488365,0.671941595,0.000313655,6.574775984
497235.902,17.91901882,74.3156362,192.3388217,31,9.567166797,10.53488365,0.671941595,0.000313655,6.574775984
525342.8549,22.21377315,69.30104167,225.3063657,30,9.567166797,10.53488365,0.671941595,0.000313655,6.574775984
567238.9761,26.66420251,66.30790771,284.5905765,31,9.567166797,10.53488365,0.671941595,0.000313655,6.574775984
