,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
y_pred__0,-0.8478106378956539,0.04107137071552335,0.0021113837017942313,-0.9250525692617153,-0.7673681584753596,296.30793926409507,0.9988496836958545
y_pred__1,-1.2010374742621734,0.062460840028803574,0.0036200979408639285,-1.312924207946443,-1.0779624036556559,220.90765110209486,0.998150398717677
y_pred__2,-0.4546244731078213,0.026020909087163667,0.0015001475962049986,-0.4960676258257436,-0.3928824705358873,225.3219169183409,0.9979979990641685
y_pred__3,-0.504791138920212,0.1818464386678487,0.01102153143316156,-0.830785314613142,-0.15638426272689523,214.15387166810686,0.9988477594787643
y_pred__4,0.6834845971738949,0.019267527372532296,0.0014463068271037612,0.6454269119392166,0.7191657403339649,122.57681811263976,0.9982073375981378
y_pred__5,0.7916177470301156,0.03605113859824168,0.0025393084294280084,0.7233718276918165,0.8580298413370203,149.15708124627503,0.9989956084998474
y_pred__6,1.2116281673993925,0.11148487238097693,0.007546265175205601,0.9888314569220172,1.4235549853263392,172.3803074511502,0.9994307481171912
y_pred__7,1.3882854680270023,0.040231206500791664,0.0029964090905480554,1.3142654246057521,1.4651151407534655,128.9123496777073,1.0008545539850597
y_pred__8,0.7516254630551362,0.06474016376614707,0.004385204422167717,0.6095622873146579,0.8688897052278295,150.81620260781798,0.9984155472762891
y_pred__9,-0.19587354352929315,0.03629958305002416,0.0023843990611522184,-0.26191211526520974,-0.11628551282907343,148.85630975287387,0.9980255163905362
y_pred__10,-0.9655350715323388,0.024453461240686467,0.0014071215233896512,-1.0099628524034376,-0.9152688611029058,218.81267008088733,0.9980045781727674
y_pred__11,-1.0439805488412532,0.09418511579243329,0.0051619427566457175,-1.211565952554303,-0.8548034944230933,253.48522158300761,0.9980036581613323
eta,2.4671993846610265,0.36626625368945764,0.021039928754847514,1.7574341614260935,3.1153644899101574,240.84915054532755,1.0013528047322278
lengthscale__0,0.7249525385710304,0.047865347902508605,0.0021610189121151775,0.635541311812469,0.8225394444159415,434.5754901537931,0.998026177096972
lengthscale__1,1.8755697953724455,0.2097243785941926,0.01100251851111421,1.4608988907799296,2.214976068638381,305.96802752274766,1.003008371763372
lengthscale__2,4.413446876416077,1.197163193978441,0.06041093698503204,2.3207617368209945,6.754848150210589,338.6727669553119,0.9982874631377525
lengthscale__3,6.370441801225807,1.071013717477269,0.049055249548341416,3.9579182721601103,8.288487056351174,471.35596256419296,0.9979991812603541
lengthscale__4,7.526291345007624,0.9011458525546101,0.04707032443195332,5.990809519496504,9.419011027243853,290.17199044989474,1.0019674999158128
lengthscale__5,6.030491138005205,0.8158561988581419,0.04072663629211247,4.5014182056603875,7.6908355083189015,379.6489082430811,0.9980122611735924
lengthscale__6,11.091433696811821,1.5961810960012297,0.06719304339661802,8.250127977109287,14.17415773138899,603.3160836589589,0.9982521938137274
lengthscale__7,16.97574125107603,2.7363404158332045,0.13140860196256815,11.910765011796332,22.301917757208166,503.3827059795463,1.000357787638877
lengthscale__8,3.1626157171209504,0.3849943311300229,0.01987442550789702,2.5161329136795922,3.975490337637809,333.3107902409166,1.0055145505124454
tf__0,0.44700981205197854,0.044357151426863174,0.0026573580808189816,0.35766406595161243,0.5238463382498362,297.27789470190584,0.9985141337505221
tf__1,0.537399556803964,0.029543237803661946,0.0017540340287129533,0.4836719844811614,0.593315077052077,313.01317884464373,0.9999763270192624
tf__2,0.6194936141593398,0.11957915817730679,0.007434292222757667,0.3907403093700862,0.8694045065248025,197.6392793532667,1.0041158816764872
tf__3,0.4908181692200395,0.1421330400997068,0.007706504780713777,0.19798609822887495,0.7411593276174743,382.36485117883353,1.0008547140331057
tf__4,0.48179917261616373,0.007573943652521405,0.0004555555724585811,0.468616753896169,0.4965652554157982,230.97925445387136,1.0071574294225805
sigma1,0.0015450616256249992,9.681900696978732e-05,4.679309002631639e-06,0.0013668886815333301,0.0017409558892138425,400.27524071841486,1.0024552282986015
