,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
y_pred__0,-0.839903647108951,0.03206349781443093,0.0017669479767738177,-0.8985454937279036,-0.7791141917742651,288.08181843350593,0.998002149829996
y_pred__1,-1.1848279421383052,0.051534259126751525,0.00347091082254879,-1.2838735868178912,-1.0710941625205892,167.75030686979682,1.001743113133815
y_pred__2,-0.4515823637895723,0.02183296251503326,0.001376003964039064,-0.49269599099751715,-0.4090532111700021,156.059320510223,0.9980597734827101
y_pred__3,-0.5164711698589614,0.15564585535913894,0.010764873219402787,-0.8251860237284502,-0.22155331897563754,149.81989304586372,0.998123108472267
y_pred__4,0.6721239646302397,0.0166904463720762,0.0013870492233511408,0.640681404248604,0.7054965433026921,73.4966113657982,0.9981226783830681
y_pred__5,0.7852784884950189,0.030962912378604997,0.0023860222989052432,0.7253658099627757,0.8455075104966117,101.16753878618407,0.9984919128855404
y_pred__6,1.1844230120847519,0.0927411326904324,0.006910009499040133,1.0075520922978605,1.3453424816065895,93.19541043601211,0.9984784380680154
y_pred__7,1.3678450840719845,0.03343123907730743,0.0026557095376691115,1.2976853194353921,1.4249652827490442,79.80050227612602,0.9981143099566235
y_pred__8,0.7516454000650826,0.051989887017829535,0.004119832315252836,0.666837605162519,0.8589647879433885,70.98968284135356,0.9980605123351649
y_pred__9,-0.2031780157835616,0.029301427556314485,0.002245933978229046,-0.25464823881760507,-0.13614646639379313,94.4503810611761,0.9983302953408296
y_pred__10,-0.9564240202002068,0.019660385624365184,0.0012293719904577511,-0.9977440959366638,-0.9192683930949571,236.24865512013253,0.9988841951031802
y_pred__11,-1.0555929790883192,0.0741457818041745,0.0047999656108746085,-1.19504314704425,-0.9065731746731817,208.63119345511777,0.9998621668390292
eta,1.9850798167205432,0.2644208366488525,0.01565036926844405,1.4828627484539894,2.4895522693694185,228.27890859989765,0.9980727861186949
lengthscale__0,0.7271532748849366,0.048725507086328404,0.002217273870483907,0.6338058775298422,0.8162569624348918,475.32303362942383,0.9984717480198949
lengthscale__1,2.0185807828786886,0.18373612778495985,0.009578979540780618,1.6548109310554513,2.3547839359096145,246.9909382845483,1.0006162756856312
lengthscale__2,4.613195852573629,1.2405915785450925,0.06888553882888634,2.5075913155747647,7.04288812998349,264.5591515291727,0.9981872816879924
lengthscale__3,6.722024705857821,1.0403962814593333,0.043587401774431295,4.889712287760281,8.711255184592913,541.8970939935298,0.9993330680251649
lengthscale__4,5.065262249350981,0.9523144953673129,0.04645374406858706,3.4040270724430415,6.880636646713976,345.93507537665613,1.001850745356135
lengthscale__5,5.571069420110637,0.7194748394265795,0.03725721659405931,4.248923484970037,7.07656481658082,293.15693019691383,0.999450737762452
lengthscale__6,11.029377213628907,1.5754549555539181,0.06940847865459933,7.923886178093351,13.898022716677191,376.77689109050925,0.9982959983905176
lengthscale__7,15.371034352107968,2.6579407436890987,0.10171047938303635,10.61112012979186,20.13759970426737,715.4889816551678,0.998070668412201
lengthscale__8,2.662053523491044,0.302063128317607,0.015044154184753572,2.137837457858212,3.2435306833652304,337.61114272684125,1.0054099119895956
lengthscale__9,14.194317804957295,2.4920704682886634,0.1135259466696803,9.930900215328482,19.2852706073321,519.2171105979577,0.9988275356626916
tf__0,0.42237566332773224,0.04604949480047627,0.0023183638202198143,0.3316439169936104,0.5078522185554087,299.40235866079456,0.9980749531420067
tf__1,0.5498722864677471,0.03309174199710657,0.0018056442865646383,0.48932548518199664,0.613514493853572,225.40800349344033,0.9980359689127264
tf__2,0.6268563654149707,0.14114366652085167,0.008027918135205217,0.32769323761356456,0.8902304401122694,192.61923587641246,0.9995036555570023
tf__3,0.5434944800618791,0.15105140053331137,0.006386817191711891,0.2422253629731584,0.8276041749030786,454.60147667360087,0.9980884357099387
tf__4,0.48697587250890384,0.00789564176649826,0.0004577538650980366,0.4723062624116066,0.5027041686414643,187.21957987512067,0.9986115338381313
tf__5,0.40697144016138936,0.19204033720439448,0.008979419912887084,0.0860283289947918,0.7848971194275625,564.091351307406,0.9982825757381399
sigma1,0.0015174002585608788,9.39706678377729e-05,3.6425459603572375e-06,0.0013502376695780625,0.0017029892656151993,611.8852641395748,1.0016412102824483
