,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
y_pred__0_0,-0.9197581071617752,0.02918584328241189,0.0011712487873102844,-0.9756428198842054,-0.8641759681968064,571.2355910430387,0.9981408960576291
y_pred__0_1,0.026939479289568566,0.04255339897991849,0.001901485036372334,-0.06054036287992921,0.10807406420743014,460.4081045446818,0.9985660866672299
y_pred__0_2,0.9513788143087786,0.038729602209150026,0.001614930243523016,0.8641667994564353,1.0176418337018747,472.34220225938253,1.0010615819429691
y_pred__1_0,-1.2055681450281646,0.0550820804111185,0.0025230574301511404,-1.3164321871312339,-1.106402142313324,472.85941456124203,0.9982614666905366
y_pred__1_1,-0.5814037598260999,0.07717440506807655,0.0035033349405021335,-0.7126733427797879,-0.4162418541333156,427.9462181908936,1.0004752807912674
y_pred__1_2,0.42359272405341747,0.07135061748706024,0.0033154609310070728,0.25336765717316373,0.5429036883141248,455.6075570265814,0.9990368701901102
y_pred__2_0,-0.399097171753212,0.025492248891466104,0.0010412059761069413,-0.44548532878443065,-0.3485964199076112,918.9618816071707,1.0009373129361723
y_pred__2_1,0.36425829930238907,0.037450787131343484,0.0016047078822938547,0.2924290247909787,0.43517504970716914,397.14242137167986,1.0015146282090654
y_pred__2_2,-0.25630469303509334,0.031091082819544678,0.0012804763214500133,-0.32720506278426675,-0.2020887371781291,556.0756252231099,0.999421725559719
y_pred__3_0,-0.3732441247760063,0.10975108701721058,0.005469943952964594,-0.5756746035248719,-0.17112453315473836,365.78298506232585,1.0026695133764274
y_pred__3_1,0.5264307453062007,0.16301938297920926,0.007836321042543401,0.21270712612297452,0.8296557640233876,339.56938795957046,0.999384629157785
y_pred__3_2,-0.4532203867976362,0.13467096801379563,0.007340523806031962,-0.7255419584036228,-0.20158480148866045,226.1287457776708,0.9985200688054592
y_pred__4_0,0.7272220592634406,0.016557182298168296,0.0009788314062432728,0.6933098530661571,0.7588648003021385,202.8476051218802,1.0078525757475123
y_pred__4_1,0.2827800408559064,0.024293729747060195,0.00136270137851054,0.242968539671907,0.33560029290643867,273.3066289900524,1.0068272145507762
y_pred__4_2,-0.6983944895724281,0.02061910397094228,0.0011780923344188823,-0.7367083267865729,-0.6584914149757873,191.14932099466486,0.9993943376826043
y_pred__5_0,0.8220446797995827,0.01423787922546124,0.0008111690538793904,0.796450007524163,0.8519673007378832,186.1706232190997,1.0064179710267065
y_pred__5_1,0.1698501843413609,0.0223055369551925,0.0012882296336039717,0.13172791363071337,0.22028339442870715,248.04798364576212,1.0061945335944475
y_pred__5_2,-0.7664802380778221,0.018055048215550398,0.0009733995336794318,-0.7966332945339756,-0.7249419418169756,311.24979532435566,0.9984697055459675
y_pred__6_0,1.4732606905704464,0.08400265368161065,0.004820754285783968,1.3246441964198794,1.659090207176324,192.25834735436322,1.0096801533044433
y_pred__6_1,0.06749880215754671,0.12209130754078994,0.0068458063512896,-0.16217579990525777,0.3382586305432394,247.3521847690009,1.0103702918903945
y_pred__6_2,-0.8016485018639908,0.1014139045779154,0.0054288127688901806,-1.0063455096130458,-0.6287642378974225,333.29752269717915,0.9995479131459247
y_pred__7_0,1.4357090158513004,0.02455384711333609,0.0014401001569433146,1.39185452067855,1.4889775662822928,179.40236134259675,1.0125934408920254
y_pred__7_1,0.3851014159515511,0.03522911527025687,0.0020266487026681466,0.3128106703940733,0.4500868976645576,238.55832871805706,1.0133064077812053
y_pred__7_2,-0.7815409008010002,0.02987354450174854,0.0016406416851664136,-0.8442597557512381,-0.7298316478766287,305.1628474003118,1.0002893203215668
y_pred__8_0,0.511274911561402,0.05956718682381036,0.0036556003896166893,0.39675993820782696,0.6294610777870374,168.98308071419174,1.0117003786544916
