,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
y_pred__0_0,-0.8459935363123477,0.03785249495699797,0.001639458263645122,-0.9176068709880504,-0.7687732244244705,497.07603371134735,1.0007044024527831
y_pred__0_1,0.28444088361189945,0.08380538381417689,0.003217529029339443,0.13629583451533525,0.4737763249470058,700.2108342402109,0.9984897836204888
y_pred__0_2,0.24210551230488217,0.05546312253902677,0.0024108965546332023,0.13850989427056987,0.34364883924793854,611.7370632242923,0.9985561316733627
y_pred__1_0,-1.1907686990400628,0.06463027757786209,0.0030839742998154326,-1.2998921260721257,-1.0619283343929389,383.9939499665403,0.9990442452341006
y_pred__1_1,-0.4096208594901027,0.15821775619180606,0.0073531627485427815,-0.7267105564678926,-0.1317697786048501,393.6203743091927,0.9980438811555427
y_pred__1_2,-0.5284852200657306,0.08469482467721459,0.004186034315308278,-0.7064891554742069,-0.38056295203069257,350.3284672461127,0.9987180498748189
y_pred__2_0,-0.45358781066417353,0.025752937212965822,0.0010514427510967576,-0.5029762275132708,-0.4032956379794122,491.63925371034384,0.9982253821256042
y_pred__2_1,0.3030940600640319,0.0585535298166488,0.0027046158355104,0.18839218809950625,0.41051180942926957,428.7636057448859,0.9980227198419689
y_pred__2_2,0.2329034370744472,0.039353234488799765,0.001705810818568383,0.15258611968190156,0.30214661065702725,498.19416866336,0.9980237355502574
y_pred__3_0,-0.4871728316975711,0.18655847985452312,0.009023377188993324,-0.8507735697979968,-0.13571178070232673,407.2963049049458,0.9989389112207134
y_pred__3_1,-0.06748812563803484,0.37482432503062363,0.016571186343028683,-0.8770167036719654,0.614451345418983,461.53114472207153,0.9981224262563795
y_pred__3_2,-0.17981481100156055,0.25457225895389013,0.012583060787708888,-0.6379772105394295,0.3681174806915264,397.0126855225218,0.998019113258407
y_pred__4_0,0.6726976273670177,0.019611305966749197,0.0009248876969007261,0.6295120904236464,0.7080534615739462,359.4289609547324,0.9980016466732433
y_pred__4_1,0.2639844812792817,0.04426856997627185,0.0026028557891985818,0.1746775677263958,0.34433817305178543,194.72822999160326,0.9980443671777696
y_pred__4_2,0.21212711695269823,0.027583820137795825,0.0016511918432162126,0.15255497156402661,0.2613000476828959,214.85820964615834,0.9982574852591815
y_pred__5_0,0.7853269145857812,0.03824510976557593,0.0018287592449832807,0.7001766778187974,0.8508613431361887,401.29029797359664,1.001904851550412
y_pred__5_1,0.16940267405815299,0.07940827404719648,0.004229728282064279,0.011696672450766804,0.32075943419854613,304.5137509100877,0.9987420211131396
y_pred__5_2,0.02480972720434299,0.051890058636454656,0.0028423279397291846,-0.07695054098783202,0.1228611673123738,267.8602051070124,1.0035206227988172
y_pred__6_0,1.2060898892979772,0.12341752570154792,0.005466481992450839,0.9566656795232953,1.4447957756066414,415.67509248250013,0.9980301376575493
y_pred__6_1,-0.607474933606482,0.26248623167785645,0.014439938299839203,-1.1406131022153012,-0.15689765084665092,233.88765559370535,0.998338106190949
y_pred__6_2,-0.3144521465774682,0.1576814004634868,0.008319218909430449,-0.6446276868066,-0.03452667808320729,309.6196638141988,1.0021074517523705
y_pred__7_0,1.369392583791413,0.041676109624996335,0.001865360434619288,1.2909711202809924,1.4572671379206337,411.09936166934295,0.9997354071869842
y_pred__7_1,0.45651542690646135,0.09040322296447631,0.005256785349656167,0.2553587286287266,0.6160382092535006,187.45421044814705,0.998284477820788
y_pred__7_2,0.31071076251138446,0.05662124591495506,0.003283505744104624,0.1978878349684788,0.4144322556159936,227.60593642981556,1.0018109268564452
y_pred__8_0,0.751894371774814,0.06549671849690121,0.003068093047851818,0.6275775476801012,0.8823791940431458,368.9343795353965,0.9987383003262965
y_pred__8_1,0.771962087025602,0.1521125757388384,0.008740481896767363,0.44557473396306035,1.0286337560930625,187.20536892498498,0.9990213448470799
y_pred__8_2,0.40642997746045667,0.09199265613220883,0.005195255886760353,0.23228500914843925,0.5802123901781304,239.9584716329118,0.998238482252561
y_pred__9_0,-0.19967595687118117,0.03927896513917626,0.002069631436781462,-0.2809255822256848,-0.1295945362651822,301.5588196453937,0.9988898273068615
y_pred__9_1,-0.41594157980888674,0.09240054859495443,0.005004699463038288,-0.5753388276122463,-0.21145325199274026,254.2084781391523,0.9981566088523096
y_pred__9_2,-0.16500267892739928,0.05079977327474854,0.0028801670022122654,-0.25445138981031823,-0.06483824387989422,253.4569030702393,1.0004041664073966
y_pred__10_0,-0.9611195486955116,0.027321898015622396,0.0013208219053469025,-1.0060366573112294,-0.8972234876702532,368.6812372023546,0.9985720149476679
y_pred__10_1,-0.14527149964276714,0.06118269846325238,0.0030649940033266737,-0.25885070830668505,-0.03474309674129546,338.732512411994,0.9980024143622813
y_pred__10_2,-0.12507999470609193,0.033382307532468194,0.001717552381026128,-0.19798248185602813,-0.06460837104170514,406.4414229218463,0.9994957764021909
y_pred__11_0,-1.0425645083796657,0.1098832593585476,0.005453675068328876,-1.2459445118054215,-0.8189084468276926,351.70548303092573,0.999887027415802
y_pred__11_1,-0.9792032133542329,0.2640744430343642,0.012690945999386619,-1.467505385950194,-0.46012169044486406,387.7045293365498,0.9980212320034203
y_pred__11_2,-0.5154025490698364,0.1387385684418429,0.006725304166699389,-0.8079664193868964,-0.25772546465761265,346.06941758414143,1.0050407343900112
eta1,2.757215828313822,1.7024689124608199,0.12099664787863602,0.4627342356926108,5.829787210809899,124.50670164253192,1.0029639941632904
lengthscale__0,0.7536179181906512,0.03263515132042729,0.0011147072153433319,0.6949353309793945,0.8178661881893448,1034.2230351231203,0.9999460436051155
lengthscale__1,1.7976319828174585,0.10265028809399641,0.0039904965083505505,1.6057317122662553,1.9943681933129502,599.4491041844212,0.9987457465578876
lengthscale__2,3.4512153882005783,0.5166925228172414,0.021933996676125656,2.4493104685143567,4.406425147797409,626.5386866392082,0.9980108085986639
lengthscale__3,4.643564736378356,0.45041655921571994,0.01661329985746349,3.781767064135528,5.494579536859424,771.9110050597475,0.9980725929870419
