Electricity:Facility,InteriorEquipment:Electricity,Electricity:HVAC,Heating:Gas,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days,tc1,tc2,tc3
373753.5385,157502.6306,14419.25388,319006.2825,-2.113575269,70.30320341,156.7973417,31,11.46367241,8.822750617,0.603388064
348803.1776,145487.6401,10982.272,164058.8132,1.942956349,62.61458333,188.2471892,28,11.46367241,8.822750617,0.603388064
399885.0717,167065.5822,12204.06797,104308.2036,5.43313172,62.39908154,197.9807721,31,11.46367241,8.822750617,0.603388064
415169.3651,155193.6273,11080.14464,42357.92799,12.56460648,68.95763889,135.3763503,30,11.46367241,8.822750617,0.603388064
503568.4254,163877.9317,12919.07351,12421.24211,17.91901882,74.3156362,192.3388217,31,11.46367241,8.822750617,0.603388064
536915.5964,160935.485,14415.14818,787.1143547,22.21377315,69.30104167,225.3063657,30,11.46367241,8.822750617,0.603388064
584725.9711,158136.074,16603.05363,10.4526875,26.66420251,66.30790771,284.5905765,31,11.46367241,8.822750617,0.603388064
579288.5359,167065.5822,15290.48993,1090.007507,23.04596774,77.16319444,219.8065636,31,11.46367241,8.822750617,0.603388064
524758.4731,155193.6273,12877.52297,6137.467399,20.35770833,84.16527778,153.3049769,30,11.46367241,8.822750617,0.603388064
441748.68,160690.2812,12008.05201,38394.87048,12.89782706,75.73711918,157.4538157,31,11.46367241,8.822750617,0.603388064
396504.9306,154560.184,11105.61403,64403.54905,9.760949074,74.10636574,128.5277006,30,11.46367241,8.822750617,0.603388064
385174.8991,158136.074,11511.31228,114913.2714,5.489852151,75.55857975,140.3433766,31,11.46367241,8.822750617,0.603388064
453312.4783,230071.2165,12839.6697,238260.4355,-2.113575269,70.30320341,156.7973417,31,12.21243912,12.88779088,0.699140993
423792.5869,212520.3764,10292.2815,117695.6458,1.942956349,62.61458333,188.2471892,28,12.21243912,12.88779088,0.699140993
486774.3265,244040.2524,11882.95764,75764.37045,5.43313172,62.39908154,197.9807721,31,12.21243912,12.88779088,0.699140993
500747.4289,226698.3509,11055.50031,30797.48798,12.56460648,68.95763889,135.3763503,30,12.21243912,12.88779088,0.699140993
601442.1464,239383.9071,13240.39377,8463.188269,17.91901882,74.3156362,192.3388217,31,12.21243912,12.88779088,0.699140993
639251.4178,235085.7422,14865.17357,442.3295464,22.21377315,69.30104167,225.3063657,30,12.21243912,12.88779088,0.699140993
692720.8235,230996.5159,16791.69311,8.06910331,26.66420251,66.30790771,284.5905765,31,12.21243912,12.88779088,0.699140993
689799.4532,244040.2524,15789.2472,685.7296349,23.04596774,77.16319444,219.8065636,31,12.21243912,12.88779088,0.699140993
623662.0711,226698.3509,13277.00804,4064.101203,20.35770833,84.16527778,153.3049769,30,12.21243912,12.88779088,0.699140993
531067.2648,234727.5618,12118.93913,28467.92085,12.89782706,75.73711918,157.4538157,31,12.21243912,12.88779088,0.699140993
479240.9297,225773.0516,10880.78393,47968.46761,9.760949074,74.10636574,128.5277006,30,12.21243912,12.88779088,0.699140993
467299.842,230996.5159,11172.30448,86324.38178,5.489852151,75.55857975,140.3433766,31,12.21243912,12.88779088,0.699140993
412066.3571,221579.8374,13724.77725,275282.5006,-2.113575269,70.30320341,156.7973417,31,9.320165912,12.4121333,0.621491246
