,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
y_pred__0_0,-0.9391552296440018,0.044617793959372674,0.0020489502957649385,-1.03665041098876,-0.861543273749222,478.61363230260514,0.9984069839968894
y_pred__0_1,0.015505915894311856,0.06997890924148786,0.0031324685774606507,-0.1452057288842257,0.13687822549162829,521.4164857203214,0.9986854285995516
y_pred__0_2,-0.6698321642416205,0.12501845945483506,0.005511836157607153,-0.8958745762690408,-0.44156678118525977,441.9201917632178,0.99952889348734
y_pred__0_3,0.9835524877619386,0.044540878024171206,0.0020899366372393825,0.8979688921838109,1.0652821979664249,423.0646487220976,1.0052872409473506
y_pred__1_0,-1.2328042944691318,0.0741140807249529,0.003103558938722794,-1.3667702541261368,-1.084741366007524,523.9247448851772,0.9979980027052526
y_pred__1_1,-0.6202226601929826,0.10224528674145342,0.004919042255138158,-0.8216222369111026,-0.42328393804807973,439.1874081239477,0.9980987877552908
y_pred__1_2,-1.205427193924375,0.18239108639906743,0.008596308057857955,-1.552027254970072,-0.8562414562093658,397.5187282597963,1.0000434275017274
y_pred__1_3,0.4463719655756821,0.06799743604852392,0.00334733410761654,0.32533695010596464,0.584370131930311,392.7086611923339,0.9985945805657325
y_pred__2_0,-0.4012889779108018,0.04133285020791562,0.0018045181460125711,-0.47424839231020244,-0.3214626503544513,640.9329156160894,0.9990073729743429
y_pred__2_1,0.3566858727386188,0.06338350517164215,0.0023189931918831427,0.2147127004350255,0.4715173799334416,574.7229944406772,1.0073184102953538
y_pred__2_2,-0.4486487236006134,0.10536015085604683,0.004475884562758053,-0.6664362383141471,-0.2645980469914192,542.0679398752616,0.9993204304996429
y_pred__2_3,-0.2477232790957361,0.04041422850092811,0.0018555901225472513,-0.3294394616442177,-0.16559946324484892,445.4950161774144,1.0073338931823195
y_pred__3_0,-0.38611537910470106,0.15248763742725513,0.006913156539252405,-0.6863618710753961,-0.08152476537432898,385.6319080871178,1.0016801714130938
y_pred__3_1,0.4621991382779856,0.20527183510521446,0.010728332572226768,0.08041749854848133,0.8626366749104994,301.7708262685934,0.9995475347703217
y_pred__3_2,-0.3059648761485819,0.3887564689191453,0.02188863427870381,-0.9902405677406886,0.5287983495458587,251.1582058220462,1.0000699478220394
y_pred__3_3,-0.43617131840815004,0.15392105767626527,0.008479925166637144,-0.7318746137233887,-0.1326395454369074,269.0466530873604,1.0040381480964686
y_pred__4_0,0.754478099341756,0.02472290029356467,0.0011559161571530895,0.7114391720654338,0.8034829735269686,345.9846472294833,1.0014547148900377
y_pred__4_1,0.27936923474912667,0.03456010078497949,0.001954598727058138,0.2096934394788879,0.3402150047610745,250.83684589074446,0.9980182692928862
y_pred__4_2,0.0367215358851196,0.06007414538675828,0.003878183316671933,-0.0766976426441084,0.15302470612829536,198.96110733681,0.9980278863429493
y_pred__4_3,-0.7075192104725199,0.02323674228014851,0.00144106535040437,-0.7547912672384777,-0.6643723129868009,206.3129465869271,0.9988727512858527
y_pred__5_0,0.8505309158545229,0.022915110652550048,0.0011189422299087428,0.8103509751489324,0.8986595899647636,351.11556541931515,1.0010335436564284
y_pred__5_1,0.160304982115963,0.031882900094010784,0.001764281702185765,0.10428943263392972,0.22928522421065117,256.43092518093204,0.9998041212943566
y_pred__5_2,0.5525193334612504,0.05535715689013895,0.0033572844504421726,0.45350377618795246,0.6669454208185405,200.37885855087922,0.9983607892413106
y_pred__5_3,-0.7736835644128185,0.020097989963570782,0.0012579204310117368,-0.8110683281625051,-0.735173376584896,171.67522260239267,0.9980468115058424
y_pred__6_0,1.5131485966899667,0.12984339296946357,0.006221428580564552,1.249763623852325,1.7664485113601143,367.91761049812857,0.9997204553310403
y_pred__6_1,0.043579725574277514,0.1756895713100907,0.009449541223734571,-0.28299435471940193,0.4148300929603781,267.82562641122274,0.9990220955184226
y_pred__6_2,1.1929640462423055,0.3065734531364478,0.01860735752685449,0.5801040067965156,1.7586971514829175,224.91423536061444,0.9983349238113889
y_pred__6_3,-0.8142721758074746,0.11377541457853205,0.006755905261980094,-1.0249430728584699,-0.5862092049271262,210.36015495725235,0.9981663672346957
y_pred__7_0,1.4763100969903025,0.037811657222427346,0.0018517123687535424,1.3979197051965468,1.5480800593309794,341.82932691371,1.0000353577518701
y_pred__7_1,0.37478470252122303,0.051326944345998105,0.0029069797116116356,0.25965390404658206,0.4646038260531234,244.80505215950615,0.9980907543617381
y_pred__7_2,0.9695280010656845,0.08949916104642724,0.005703597635292801,0.7809482014816507,1.1251605309715487,200.77848990562725,0.9983662896560935
y_pred__7_3,-0.7912017536970428,0.03308625729851491,0.002099411280150859,-0.8610942205207913,-0.7329718077962561,179.9978515854946,0.9982010447684362
y_pred__8_0,0.5215637708303408,0.08927406498730496,0.004332842525709321,0.35298106642369365,0.6903384433809807,333.7080357293678,1.0016003502693969
y_pred__8_1,0.007197230655106865,0.12451476756883882,0.007221515297769392,-0.2168785413400052,0.2764355776656901,229.6864299119526,0.9987473519078911
y_pred__8_2,-0.002659630931991335,0.21341390965366316,0.01393174830847568,-0.4147174552204926,0.4455584936176447,180.16392328031,0.9980228716825994
y_pred__8_3,-0.6846007203124694,0.08028598767657177,0.005232435747030346,-0.8219302205074769,-0.5182258243745652,170.90063774336232,0.9988004067408763
y_pred__9_0,-0.14036150009843212,0.04118809893949731,0.0018750220141123541,-0.22595604567754207,-0.05915523951645363,402.58189394859005,1.001119504131126
y_pred__9_1,-0.0684696550048995,0.05615979593582192,0.002921712457553834,-0.18339239922402842,0.02816049578151243,300.79822876868144,0.9988753494751537
