Electricity:Facility,InteriorEquipment:Electricity,Electricity:HVAC,Heating:Gas,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days,tc1,tc2,tc3,tc4
393208.9992,192475.2973,14040.56142,290921.1692,-2.113575269,70.30320341,156.7973417,31,10.16945496,10.781798,0.607442475,0.000276819
366709.0086,177792.4386,10837.72913,146168.8702,1.942956349,62.61458333,188.2471892,28,10.16945496,10.781798,0.607442475,0.000276819
420252.3018,204161.6542,12344.88169,93580.25867,5.43313172,62.39908154,197.9807721,31,10.16945496,10.781798,0.607442475,0.000276819
435534.4461,189653.5915,11276.28925,37072.36121,12.56460648,68.95763889,135.3763503,30,10.16945496,10.781798,0.607442475,0.000276819
526630.4859,200266.2019,13344.60963,10420.90438,17.91901882,74.3156362,192.3388217,31,10.16945496,10.781798,0.607442475,0.000276819
560763.6576,196670.3998,15001.1873,591.7702278,22.21377315,69.30104167,225.3063657,30,10.16945496,10.781798,0.607442475,0.000276819
610500.0565,193249.3936,17212.35795,7.083552371,26.66420251,66.30790771,284.5905765,31,10.16945496,10.781798,0.607442475,0.000276819
604915.5777,204161.6542,15935.26364,854.302648,23.04596774,77.16319444,219.8065636,31,10.16945496,10.781798,0.607442475,0.000276819
548416.1619,189653.5915,13359.28702,5129.524967,20.35770833,84.16527778,153.3049769,30,10.16945496,10.781798,0.607442475,0.000276819
463110.8445,196370.7496,12294.7742,33874.97984,12.89782706,75.73711918,157.4538157,31,10.16945496,10.781798,0.607442475,0.000276819
416492.9669,188879.4952,11242.59713,57228.78343,9.760949074,74.10636574,128.5277006,30,10.16945496,10.781798,0.607442475,0.000276819
405315.6739,193249.3936,11644.68907,103904.4286,5.489852151,75.55857975,140.3433766,31,10.16945496,10.781798,0.607442475,0.000276819
436791.8008,214459.3875,18107.22926,249279.1639,-2.113575269,70.30320341,156.7973417,31,11.68064371,12.01327042,0.485287383,0.000278213
407768.8339,198099.4861,14355.32716,123525.9997,1.942956349,62.61458333,188.2471892,28,11.68064371,12.01327042,0.485287383,0.000278213
468173.3043,227480.5335,16525.36899,79786.27541,5.43313172,62.39908154,197.9807721,31,11.68064371,12.01327042,0.485287383,0.000278213
483206.173,211315.3928,15273.47795,32398.23224,12.56460648,68.95763889,135.3763503,30,11.68064371,12.01327042,0.485287383,0.000278213
582849.0996,223140.1515,18241.6315,9004.250258,17.91901882,74.3156362,192.3388217,31,11.68064371,12.01327042,0.485287383,0.000278213
619930.1337,219133.645,20517.68574,477.4029787,22.21377315,69.30104167,225.3063657,30,11.68064371,12.01327042,0.485287383,0.000278213
672818.6637,215321.8993,23279.70766,6.422654379,26.66420251,66.30790771,284.5905765,31,11.68064371,12.01327042,0.485287383,0.000278213
668865.9682,227480.5335,21778.25665,724.7726506,23.04596774,77.16319444,219.8065636,31,11.68064371,12.01327042,0.485287383,0.000278213
605741.6311,211315.3928,18286.22688,4384.1105,20.35770833,84.16527778,153.3049769,30,11.68064371,12.01327042,0.485287383,0.000278213
514008.3298,218799.7695,16737.23979,29878.96976,12.89782706,75.73711918,157.4538157,31,11.68064371,12.01327042,0.485287383,0.000278213
462512.6591,210452.881,15104.66758,50436.38759,9.760949074,74.10636574,128.5277006,30,11.68064371,12.01327042,0.485287383,0.000278213
450148.4853,215321.8993,15564.04659,90381.15278,5.489852151,75.55857975,140.3433766,31,11.68064371,12.01327042,0.485287383,0.000278213
366093.1296,169898.199,17044.52642,327447.2956,-2.113575269,70.30320341,156.7973417,31,9.516198429,9.517107327,0.49673886,0.000314678
340919.3813,156937.6202,13016.97478,170626.8715,1.942956349,62.61458333,188.2471892,28,9.516198429,9.517107327,0.49673886,0.000314678
389713.7255,180213.7616,14342.04632,107821.904,5.43313172,62.39908154,197.9807721,31,9.516198429,9.517107327,0.49673886,0.000314678
