,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
y_pred__0_0,-0.8999275103827022,0.02897505219726175,0.001383171019238814,-0.9620375052832156,-0.8511885846701804,268.7271340352843,1.0023258659492131
y_pred__0_1,0.042007674423125495,0.04294055360816281,0.002037607755030815,-0.036471101029776964,0.12150135375938102,387.5693997412359,0.9980547559111222
y_pred__0_2,-0.6496024923577869,0.07823858849832906,0.004205143163318553,-0.8099896202771737,-0.4898841108370426,225.5774230365353,1.0049749270212398
y_pred__0_3,0.9743041478762083,0.03155293423963124,0.0015283355700426173,0.9172020774678772,1.0329451343088474,352.4307544228627,0.9991121071513346
y_pred__1_0,-1.1847253924744732,0.04908365441545058,0.0022611177491706465,-1.281727367830969,-1.0891837910574778,448.65644162279136,0.998445296944118
y_pred__1_1,-0.5804358362588153,0.07738019918082613,0.0038327806897027715,-0.7432317522571115,-0.43902738936376373,412.8174219499406,0.9986195066090557
y_pred__1_2,-1.1586331013985816,0.14137358013531123,0.008200874741632308,-1.4626307105906347,-0.92609010602634,299.90352825191377,0.9986837204233261
y_pred__1_3,0.44989316879779984,0.056246306764732426,0.0031620117390989168,0.3362577614042779,0.5498418953764885,292.0455431719546,1.0002306144509843
y_pred__2_0,-0.38713350553388715,0.025436913910897283,0.001333656912347434,-0.4391804014959553,-0.337729705014283,217.59018397880567,1.0086070500601456
y_pred__2_1,0.37185387599483405,0.037286753680900925,0.001263056611725276,0.2972836050720688,0.43512337873653034,728.787222021368,0.9988955534278576
y_pred__2_2,-0.4409843556233358,0.06803400717971013,0.003335985818085746,-0.5680662476089275,-0.3137714151080596,336.18581475638473,1.0075552718162355
y_pred__2_3,-0.2523765816371242,0.02714795613977618,0.0013185852357792548,-0.30610397118344124,-0.19835661397137566,383.63052698591497,1.001770176393615
y_pred__3_0,-0.3990092584022223,0.0897967258202421,0.0044636981509220425,-0.5556705880148166,-0.22017223452432627,352.55198537491776,0.9979997508783841
y_pred__3_1,0.48474864877010104,0.15423672899732505,0.008927626705918675,0.22131698983459894,0.7967152819553934,230.3039398115943,1.0004819504442577
y_pred__3_2,-0.3536256148949495,0.2540469779581567,0.01617095272520573,-0.8976194025910127,0.09047388129736647,189.58606329941526,0.9985548899099528
y_pred__3_3,-0.42838803244727564,0.09970459646724683,0.00580730112336702,-0.6136883773154749,-0.23018321701798547,259.66345468550406,1.0003023025799151
y_pred__4_0,0.7378268970735851,0.014316775671018125,0.0007805642174812318,0.7085397713080518,0.7620576648039405,243.9053700161246,1.0009588017213487
y_pred__4_1,0.30650453058240923,0.02433040807132605,0.0015717061748826804,0.26213420702631435,0.3571801690718837,135.1582375521448,0.9996122426509771
y_pred__4_2,0.027623992479453883,0.03831304114923705,0.0024740318448724977,-0.050051360604566685,0.0943776258608813,146.40852920634723,0.9995218111021035
y_pred__4_3,-0.7065022504290606,0.015185357541728547,0.000961202268154285,-0.7370711434629927,-0.6801043553632421,181.83487536513658,1.0025684129806172
y_pred__5_0,0.8218799915587175,0.013234557396784046,0.0007057411979344171,0.7962314616530606,0.846713285611563,234.9227404053246,1.0123241297103507
y_pred__5_1,0.18324924218634198,0.022151109856352293,0.001299024778799761,0.14353882515068772,0.22594702932427227,193.16653108369033,0.9980285972519887
y_pred__5_2,0.5044864325869937,0.0341043668424441,0.002119858851134364,0.44165571199685644,0.5786756268845878,172.8076801370316,1.0103881006033588
y_pred__5_3,-0.7716067066209087,0.014263654956250232,0.0009113863877961757,-0.798195523099884,-0.7456962040440565,142.81642175401223,1.0049339829425796
y_pred__6_0,1.4880627676412244,0.07109763779672366,0.003977619613463928,1.356893165671973,1.6380454470485906,194.44622401383342,1.0109697168588059
y_pred__6_1,0.09444269076709319,0.11695731485308054,0.0068063021599443895,-0.12107543366647645,0.3238858293614656,176.72491996680395,1.0002210245458836
y_pred__6_2,1.1233375257804799,0.1737646305385021,0.010761789819872223,0.7914184638310677,1.4440453888195568,171.6654496880047,1.0073835087344123
y_pred__6_3,-0.8131633843824176,0.07598036171939129,0.004783159425390423,-0.9659286702451022,-0.6646206046802563,143.76062035211905,1.000753987143279
y_pred__7_0,1.4368790555002275,0.021178697287945865,0.001212484338484227,1.3954795228558905,1.4769168823747372,182.11286699912992,1.0095247461314467
y_pred__7_1,0.40607143564253445,0.03419176093979732,0.002129257885147008,0.33457254829466593,0.4657390867620639,142.45081654416632,0.9986577680715336
y_pred__7_2,0.9077760075550834,0.05162670980607474,0.0033223267915082092,0.8016325358613791,0.9976513500555063,160.56631467424575,1.005891776579267
y_pred__7_3,-0.7892211991210233,0.022542955887241846,0.001464137249889493,-0.8342456324207678,-0.7431821833671378,135.37969189556276,1.000407493999248
