Electricity:Facility,InteriorEquipment:Electricity,Electricity:HVAC,Heating:Gas,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days,tc1,tc2,tc3,tc4,tc5
427471.2176,206352.9515,13001.98784,271793.4846,-2.113575269,70.30320341,156.7973417,31,12.01111153,11.55917601,0.699749819,0.000323983,5.775742709
399112.5333,190611.4445,10013.92638,133132.1514,1.942956349,62.61458333,188.2471892,28,12.01111153,11.55917601,0.699749819,0.000323983,5.775742709
458099.047,218881.906,11425.16443,85235.87606,5.43313172,62.39908154,197.9807721,31,12.01111153,11.55917601,0.699749819,0.000323983,5.775742709
470785.8897,203327.7979,10517.99915,34430.75081,12.56460648,68.95763889,135.3763503,30,12.01111153,11.55917601,0.699749819,0.000323983,5.775742709
564492.4587,214705.5878,12518.69562,9687.065965,17.91901882,74.3156362,192.3388217,31,12.01111153,11.55917601,0.699749819,0.000323983,5.775742709
599265.1779,210850.5249,14067.88449,553.5110414,22.21377315,69.30104167,225.3063657,30,12.01111153,11.55917601,0.699749819,0.000323983,5.775742709
647500.1641,207182.8608,16001.7056,8.381010651,26.66420251,66.30790771,284.5905765,31,12.01111153,11.55917601,0.699749819,0.000323983,5.775742709
645548.6568,218881.906,14950.18894,799.7956684,23.04596774,77.16319444,219.8065636,31,12.01111153,11.55917601,0.699749819,0.000323983,5.775742709
585333.1255,203327.7979,12544.11351,4715.776236,20.35770833,84.16527778,153.3049769,30,12.01111153,11.55917601,0.699749819,0.000323983,5.775742709
499457.1993,210529.2696,11480.73483,31598.73051,12.89782706,75.73711918,157.4538157,31,12.01111153,11.55917601,0.699749819,0.000323983,5.775742709
451083.2231,202497.8885,10411.96716,53300.28937,9.760949074,74.10636574,128.5277006,30,12.01111153,11.55917601,0.699749819,0.000323983,5.775742709
440060.972,207182.8608,10764.70764,95939.69569,5.489852151,75.55857975,140.3433766,31,12.01111153,11.55917601,0.699749819,0.000323983,5.775742709
402126.5821,172495.087,12827.51961,293748.7842,-2.113575269,70.30320341,156.7973417,31,12.75270681,9.662575978,0.704025992,0.000305909,6.192374021
375423.8543,159336.4062,9709.735396,145407.0996,1.942956349,62.61458333,188.2471892,28,12.75270681,9.662575978,0.704025992,0.000305909,6.192374021
431089.767,182968.3227,11023.5373,93499.35968,5.43313172,62.39908154,197.9807721,31,12.75270681,9.662575978,0.704025992,0.000305909,6.192374021
442066.5726,169966.2929,10061.06274,38254.46973,12.56460648,68.95763889,135.3763503,30,12.75270681,9.662575978,0.704025992,0.000305909,6.192374021
529591.2242,179477.2441,11843.80201,11060.08344,17.91901882,74.3156362,192.3388217,31,12.75270681,9.662575978,0.704025992,0.000305909,6.192374021
560704.0053,176254.71,13233.07735,686.1538384,22.21377315,69.30104167,225.3063657,30,12.75270681,9.662575978,0.704025992,0.000305909,6.192374021
603555.305,173188.8269,15117.41629,10.39234152,26.66420251,66.30790771,284.5905765,31,12.75270681,9.662575978,0.704025992,0.000305909,6.192374021
602748.0489,182968.3227,14050.07413,955.0427239,23.04596774,77.16319444,219.8065636,31,12.75270681,9.662575978,0.704025992,0.000305909,6.192374021
547035.0369,169966.2929,11831.99375,5512.652023,20.35770833,84.16527778,153.3049769,30,12.75270681,9.662575978,0.704025992,0.000305909,6.192374021
469437.7486,175986.1655,10940.78194,34921.99907,12.89782706,75.73711918,157.4538157,31,12.75270681,9.662575978,0.704025992,0.000305909,6.192374021
424164.7833,169272.5529,10038.45216,58720.20696,9.760949074,74.10636574,128.5277006,30,12.75270681,9.662575978,0.704025992,0.000305909,6.192374021
413840.8103,173188.8269,10394.1374,104499.8049,5.489852151,75.55857975,140.3433766,31,12.75270681,9.662575978,0.704025992,0.000305909,6.192374021
380577.8639,188067.4134,12796.0367,312753.6625,-2.113575269,70.30320341,156.7973417,31,9.567166797,10.53488365,0.671941595,0.000313655,6.574775984
354351.8535,173720.8074,9636.355519,157492.1869,1.942956349,62.61458333,188.2471892,28,9.567166797,10.53488365,0.671941595,0.000313655,6.574775984
405568.4352,199486.1406,10910.82055,100687.1369,5.43313172,62.39908154,197.9807721,31,9.567166797,10.53488365,0.671941595,0.000313655,6.574775984
416113.4187,185310.3275,9934.345501,39521.50115,12.56460648,68.95763889,135.3763503,30,9.567166797,10.53488365,0.671941595,0.000313655,6.574775984
497235.902,195679.8982,11716.69075,11194.15608,17.91901882,74.3156362,192.3388217,31,9.567166797,10.53488365,0.671941595,0.000313655,6.574775984
525342.8549,192166.4437,13191.79119,625.564018,22.21377315,69.30104167,225.3063657,30,9.567166797,10.53488365,0.671941595,0.000313655,6.574775984
567238.9761,188823.7821,15220.53984,7.477122213,26.66420251,66.30790771,284.5905765,31,9.567166797,10.53488365,0.671941595,0.000313655,6.574775984
564187.3787,199486.1406,14009.69782,917.5335159,23.04596774,77.16319444,219.8065636,31,9.567166797,10.53488365,0.671941595,0.000313655,6.574775984
513002.0619,185310.3275,11738.27752,5484.089986,20.35770833,84.16527778,153.3049769,30,9.567166797,10.53488365,0.671941595,0.000313655,6.574775984
442588.5255,191873.6558,10812.56173,36002.33075,12.89782706,75.73711918,157.4538157,31,9.567166797,10.53488365,0.671941595,0.000313655,6.574775984
400583.1713,184553.9589,9936.261124,60778.13655,9.760949074,74.10636574,128.5277006,30,9.567166797,10.53488365,0.671941595,0.000313655,6.574775984
391125.9462,188823.7821,10292.41354,110696.6188,5.489852151,75.55857975,140.3433766,31,9.567166797,10.53488365,0.671941595,0.000313655,6.574775984
