,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat,,,,,,
y_pred__0_0,-0.915497388,0.031133274,0.001331323,-0.977604465,-0.857162709,592.4481045,0.999133933,,,,,,1.865886103
y_pred__0_1,-0.033579445,0.082041303,0.003558123,-0.210637194,0.129334978,437.8854931,0.998864199,,,,,,-0.89198035
y_pred__0_2,0.028287097,0.055167196,0.002582801,-0.070135636,0.147329662,383.9083771,1.005464917,,,,,,-1.397196869
y_pred__0_3,0.956524144,0.053677593,0.002402378,0.859925185,1.067270747,445.8651139,1.001015894,,,,,,-4.741516287
y_pred__1_0,-1.20780973,0.057532894,0.002570269,-1.320070214,-1.101857905,430.6539393,1.002005575,,,,,,3.097326917
y_pred__1_1,-0.554128736,0.133893365,0.006025495,-0.796096622,-0.283529635,470.5226941,0.998224981,,,,,,1.21321889
y_pred__1_2,-0.593854379,0.094198465,0.004547137,-0.783858585,-0.425295687,312.213844,0.999597228,,,,,,1.169213266
y_pred__1_3,0.41976068,0.091452634,0.004275133,0.255570264,0.593624882,465.6944225,0.99884202,,,,,,-2.568372494
y_pred__2_0,-0.399032232,0.03106179,0.001150752,-0.463450619,-0.342528443,947.1759723,0.998030672,,,,,,0.01708799
y_pred__2_1,0.531939522,0.075453771,0.002866694,0.382874393,0.661958495,758.2659942,0.998131423,,,,,,-3.026133601
y_pred__2_2,0.372931419,0.046859499,0.001891419,0.276148979,0.465212037,588.56223,0.998229973,,,,,,-2.642369586
y_pred__2_3,-0.254666806,0.049886875,0.001925016,-0.352077436,-0.160884266,687.7204886,0.998008404,,,,,,-0.383388506
y_pred__3_0,-0.364676188,0.127738793,0.006414715,-0.638310613,-0.129522839,313.1967303,1.001269219,,,,,,0.645850817
y_pred__3_1,0.992890712,0.278199207,0.015271802,0.466425698,1.510549121,193.7156067,0.998146699,,,,,,-3.326567988
y_pred__3_2,0.546379495,0.193741867,0.00992385,0.175115181,0.921926377,309.1828736,0.998619473,,,,,,-2.279071527
y_pred__3_3,-0.444640817,0.19667897,0.010151969,-0.872730387,-0.110932241,387.0677953,0.998913412,,,,,,1.488779134
y_pred__4_0,0.723186124,0.020163999,0.001102842,0.680619038,0.758362051,309.2373037,0.998007273,,,,,,-4.096765947
y_pred__4_1,0.388701712,0.042346844,0.002371974,0.310463836,0.479919406,281.5352126,0.99836455,,,,,,-2.765759196
y_pred__4_2,0.276582814,0.026863493,0.001444388,0.220295729,0.32505739,310.8734851,0.998749937,,,,,,-2.441532068
y_pred__4_3,-0.701367621,0.03015856,0.001597019,-0.766615802,-0.644912407,361.4108788,0.998125862,,,,,,1.107211544
y_pred__5_0,0.821963076,0.016975015,0.000902024,0.787921255,0.853132955,368.00895,0.998685954,,,,,,-4.482604035
y_pred__5_1,0.404235776,0.038881047,0.001736923,0.325932466,0.479995709,443.7387108,0.999178034,,,,,,-2.821381408
