,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
y_pred__0_0,-0.8425329615187624,0.04422842971200478,0.0019470102799489925,-0.9180639040791686,-0.7469526177244354,427.0926767508962,1.0009964205198139
y_pred__0_1,0.28210711002740485,0.0955485632073315,0.004166749909474253,0.07627654313272632,0.44787056700092626,490.71899114182173,0.9983321749425512
y_pred__0_2,0.23196523796363425,0.07151936105722026,0.0028117549213689656,0.1079714403998766,0.3789136347567399,718.0335662202344,0.9980009294436275
y_pred__0_3,-0.2971023213334746,0.16075213111274228,0.006490960239762781,-0.5786710941590005,0.037445007245686286,519.8231262624486,1.003097748995243
y_pred__1_0,-1.1973626571495812,0.07520950504883023,0.00339497795646853,-1.3498851956145863,-1.0551865669686937,454.3050030351045,0.9980623027517947
y_pred__1_1,-0.42356343621599435,0.15421574536950292,0.007757022679481527,-0.7238723673819505,-0.13912456575920978,341.5285255355611,1.0197157616223076
y_pred__1_2,-0.5224121486861909,0.11308147312537657,0.005426616904372423,-0.7254050409633362,-0.29833813831706846,393.60536042230814,0.9984169975384966
y_pred__1_3,-1.3542966143884152,0.27826902518743335,0.01211385472228894,-1.867788810598986,-0.8288556409839672,438.45296165384764,0.9982609094824536
y_pred__2_0,-0.45833879108550124,0.030631761614344836,0.0014712974937582785,-0.5209140999058455,-0.4005591756001969,392.33766057581084,1.0044905880288084
y_pred__2_1,0.3086457394990527,0.07031329449809492,0.003266752049995302,0.17293815535589152,0.4426500914166458,367.31096526264463,1.0208497994349257
y_pred__2_2,0.23367011182788222,0.04629816149867997,0.001975019240678779,0.1401962638212129,0.32372986072974497,562.3436198152574,1.0006917130743307
y_pred__2_3,-0.8303422121125219,0.1351048685443086,0.005431276063763814,-1.0573044513952212,-0.5212502094407737,543.48763814331,0.9993609427224833
y_pred__3_0,-0.49762883591557694,0.19826890802529357,0.010862667022798572,-0.880467317401959,-0.11904254894573721,293.083205960673,0.9981541950006512
y_pred__3_1,0.007784772490810112,0.45676194569639633,0.021933888119079203,-0.8267720084594208,0.8343348536025594,309.98772073844987,1.0096903772193153
y_pred__3_2,-0.1209587269697613,0.31329895284800985,0.013440148882027964,-0.6860868431705054,0.5755850969570715,545.0056537914048,1.0007068736975322
y_pred__3_3,-1.5291634819139295,0.6788404658176846,0.02978216942850545,-2.7763550450486645,-0.24606863284282807,410.5742792046561,1.0095142152762373
y_pred__4_0,0.6777418002578343,0.019874618773056657,0.0012064759708126148,0.6387725017149437,0.7145782680332813,211.37202838016654,1.0044509909784207
y_pred__4_1,0.26926909648268704,0.04620028689588792,0.0029331057256375827,0.174959566607624,0.3569794431443682,67.00308757947134,1.0592733933482577
y_pred__4_2,0.21455705800465733,0.028800010659887347,0.0016441105754506163,0.16714045727373505,0.27979512465128786,250.51468730226915,1.0055240201519897
y_pred__4_3,0.012964802513068675,0.07529820416132342,0.00452206263328125,-0.13004327101730032,0.16090474077234293,212.56519726320536,1.0112512478143845
y_pred__5_0,0.7847130468915336,0.03930375586611005,0.0021212357505389864,0.712112745711233,0.8607518785154663,294.8025025691691,0.999378475916962
y_pred__5_1,0.18777404439125098,0.08930333969005917,0.004770672642998665,0.018796764635961503,0.3475278459057928,158.22649960811447,1.0279171328797565
y_pred__5_2,0.043185849059658644,0.05980663940805732,0.002914489342472086,-0.06626689606073116,0.16367872868323174,392.6792933139667,1.0020747973436235
y_pred__5_3,0.3755746647562951,0.142239652903074,0.007433145228722357,0.11059207808086224,0.6680008586466367,306.60114763763966,1.0128408447730302
y_pred__6_0,1.215674175755271,0.11772946538143808,0.0062567825179963964,0.9966221432435379,1.4624698327491976,290.0695145547693,1.0003610765006683
y_pred__6_1,-0.5807340030629807,0.2704069883126176,0.014760840626008706,-1.1193380910095219,-0.07462414121818557,224.52545353802358,1.0186239500598817
y_pred__6_2,-0.3193068381818683,0.17352318612159964,0.008813572027772694,-0.7015806634742002,-0.02222560302760717,386.63447498514057,1.0004937933797686
y_pred__6_3,0.670372513651424,0.45096613652948575,0.025063234002460605,-0.21329165351744833,1.4966072297610415,273.4240997876727,1.0132128119029518
y_pred__7_0,1.3751540058463207,0.03925032494810939,0.0022407186015408467,1.3008886262839554,1.448332618331883,253.23264589815838,1.0010692947335822
y_pred__7_1,0.45734284479470805,0.09010636059015115,0.005390678486390346,0.2830414877169664,0.6148647821180688,123.129104902152,1.0427863732696498
y_pred__7_2,0.3072201889442187,0.05894374115969796,0.0031344695508723477,0.19930296428291422,0.42100415890425114,306.6960318049416,1.004050240330426
y_pred__7_3,0.8756993132170344,0.1497354014707745,0.008743223338995432,0.5591784820233753,1.1528517183497937,247.77838089785885,1.0169337273607801
y_pred__8_0,0.734005585904549,0.06747734814653303,0.0036928464477990336,0.5954708178208081,0.8542032746462686,275.00147355991345,0.9992476125325712
y_pred__8_1,0.7513456261386053,0.1480217065864035,0.00892698700863664,0.42450052106660957,1.0331533782117983,128.3736379835663,1.0390428791424067
y_pred__8_2,0.3973955347798516,0.09885501377273624,0.005189769908048598,0.1916566889184286,0.5639225911714549,272.6557611751115,1.0052381418842802
y_pred__8_3,0.3781558471265603,0.24615393426492174,0.014181607869564747,-0.05794587994637388,0.8415188187236893,253.75454111491393,1.0138412238621481
y_pred__9_0,-0.18972644263548788,0.04008961533362051,0.002071513543227215,-0.26756479973921166,-0.11180680414489103,307.5891300030488,1.0011905349422379
y_pred__9_1,-0.40344794322172545,0.08843916754569586,0.0051033041005153134,-0.5619522224086503,-0.20818945253351884,91.35471188826897,1.042601883296737
y_pred__9_2,-0.153427808677469,0.06054586669990221,0.003147630112612175,-0.26358127069033965,-0.04243705868511872,326.3282700057681,1.000486573206408
y_pred__9_3,-0.5623855291499207,0.15300999301321483,0.007851495002449946,-0.8505277540611246,-0.27440121729966144,309.8050474980807,1.0011635395453302
y_pred__10_0,-0.9625603134131732,0.027504071002529332,0.0011114319756365151,-1.0203701836508798,-0.91602651006626,572.1755714480173,0.9984974475320567
y_pred__10_1,-0.1365413955447416,0.06375879204881817,0.0029298181690995844,-0.2536758404014826,-0.009542368200117569,430.9077579815927,1.0197116285016155
y_pred__10_2,-0.12441897131045072,0.04102767755598555,0.0018161451574226673,-0.21552897427842674,-0.059122951119501076,535.5080804979156,0.9980094742184625
y_pred__10_3,-0.9316657101348376,0.1058199223027178,0.004273641434942203,-1.1418084685761465,-0.7433559258751012,600.9102370814392,0.9980063669055761
y_pred__11_0,-1.0326937347044913,0.1077290157664634,0.00479401770336533,-1.264997399821806,-0.8480108887046659,462.5999639274819,0.9980363830024579
y_pred__11_1,-0.9472510689580573,0.22612203145851192,0.01071934342348863,-1.3691506521157542,-0.5021202737187049,434.54946351267756,1.0095133384841104
y_pred__11_2,-0.48996388447328404,0.16646906815595847,0.007093629096618264,-0.7825404252116275,-0.15491579153510798,484.96971842758387,0.9980205227148574
y_pred__11_3,-1.07933713814042,0.3990557443752562,0.018520796034659184,-1.856173723188016,-0.34018628377185456,408.71293526708774,0.9987557261090787
eta1,3.5564399861157874,2.337105066022794,0.1690125439637406,0.5699577253988257,7.851096359405105,68.643622730344,0.998788916541175
lengthscale__0,0.6586721944262306,0.024502732476367712,0.0008525726896075527,0.6131624802907902,0.7084786452557124,711.9483484857834,0.9984558062505325
lengthscale__1,1.8390205251642529,0.10759100613365292,0.004736102304734672,1.648828519481999,2.031341591422748,420.9615462136108,1.0054524249972148
lengthscale__2,3.7057150323947896,0.5224300965467813,0.022504992634840244,2.724402866706834,4.759363107246961,287.2468322335199,1.020643488693108
lengthscale__3,3.712395867388126,0.3635814316783001,0.014074135335415872,3.069986547819691,4.466289914774399,592.7898045449309,0.9988714717608708
lengthscale__4,7.248748592472062,0.6082848090896269,0.024236546352220008,6.107658353938229,8.420501988756712,712.1616973173361,1.000712592044014
lengthscale__5,5.220750636882962,0.37259614171927036,0.015733800068158853,4.530847467620604,5.912852562499519,621.3646957398843,1.0027801358193131
lengthscale__6,5.510747744148528,0.3445627303234263,0.013585963888149723,4.845608201123235,6.153007575232198,551.3943235249352,1.0103661209633032
lengthscale__7,19.056384766189847,2.381784855276457,0.08464349139830801,14.409487393698253,23.302980815343535,737.0471150314545,1.0003236083377545
lengthscale__8,5.013959453011207,0.2792027799797127,0.010530334623695221,4.444537448390266,5.564159492254532,467.2922145279115,1.0124741282093424
lengthscale__9,39.56017369507955,5.233113851147886,0.14532723367164718,29.177168035188966,49.289252839186844,1100.0235121788687,0.9980719063719895
tf__0,0.48564845540672724,0.0007333242606793801,2.3630276730514127e-05,0.4842718891235137,0.4871940048452992,1059.901262580287,0.9980155280950407
tf__1,0.5023997873787506,0.00046159096155711784,1.585506303969266e-05,0.5015110585946037,0.5033059952958403,581.6082372692629,1.002414477035966
tf__2,0.5381469302849088,0.0019273449277798134,6.50665874976311e-05,0.5345778446671628,0.542131047351536,827.4246402022874,0.99829053336187
tf__3,0.5197114837738692,0.028157917954409088,0.0008163720216458378,0.4683556303045717,0.5750816607360274,1236.5017098143494,0.9989356108164464
tf__4,0.4876745637460231,0.0023882383248701442,8.27122193831959e-05,0.48248641368085815,0.4918065078723693,710.010622759249,0.9982296081456069
tf__5,0.5666276694406663,0.15472798823860162,0.00685898393901505,0.2934744628977661,0.9022758882465949,434.4042337273352,1.014710395922467
sigma1,0.0035856917369183456,0.002374279402303941,0.0001722058996545681,0.000587631174014926,0.008239624953735907,69.44558061642535,1.0004118332750604
colcholpacked__0,0.8250890504315693,0.5065406159607235,0.041203116466394046,0.13571800902864598,1.890938005404918,54.6334939861091,1.0018421572447687
colcholpacked__1,0.40857021597768867,0.27028501161157725,0.021131414464302438,0.07752180425250667,1.0242937903969347,63.74286143909804,1.0020247990181337
colcholpacked__2,1.8179091742199538,1.1130665029651519,0.09105012690203373,0.2946656324493349,4.169171572105356,54.9318354060775,1.0014266480979817
colcholpacked__3,0.1819238968797006,0.13439158678316826,0.009999855032338576,0.01855918839561702,0.46526714228309257,72.24322424737832,1.000966178287875
colcholpacked__4,0.10813998838784462,0.09380330657910863,0.006269288504793025,-0.032466371310996965,0.3312170117536596,92.41473496449129,0.9997036556709369
colcholpacked__5,1.233586478273143,0.7481249214825864,0.061008622587000606,0.20587653312855364,2.778535332331558,54.64116949853718,1.0012589061828439
colcholpacked__6,0.5733194782524256,0.4009275218031716,0.030185386865946316,0.048379339072092895,1.4462543151264948,70.9990326506338,1.0008883897494552
colcholpacked__7,-0.03834344565344457,0.19385556174897245,0.00826606891668976,-0.4532504816315753,0.33153703779702204,338.5352392733324,1.0138360247826943
colcholpacked__8,-0.04691476809933461,0.20305162146172842,0.009454035636018342,-0.5207922091810159,0.330597790502471,324.4900261480878,1.0063777180323845
colcholpacked__9,3.2482100559132285,1.9967479210453933,0.16298839762960515,0.5215455203373722,7.380586493606847,54.29582834824853,1.0017064217016953
