,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
y_pred__0_0,-0.9216797078657675,0.0314595515438033,0.0014653822204987836,-0.9804380698028237,-0.8580547247618006,504.06009552920074,0.9987718150339714
y_pred__0_1,-0.047468384502398174,0.07875042906091201,0.0026898544434796924,-0.2135371928591697,0.09532761428276626,961.5436614347375,0.9992996984876203
y_pred__0_2,0.027383212804119348,0.04798067655345373,0.0019771435891041875,-0.08012600983082951,0.10961566386307875,617.7413446714197,0.9998466723063814
y_pred__0_3,-0.678587581015121,0.09723658144274844,0.0049037489102041415,-0.8708194823169254,-0.4895749217572332,392.5297645408056,0.9998548499573713
y_pred__0_4,0.9523644732190677,0.04906697796821696,0.002352356502036226,0.8556066105711313,1.0443647793523412,366.40617383372944,1.0005747159119902
y_pred__1_0,-1.2049516029344616,0.05581908804237269,0.0025794361739111425,-1.3121552527268079,-1.0865370926804085,418.1696418591601,0.9982077371914936
y_pred__1_1,-0.5268168025178888,0.1263799701255397,0.005543190768743737,-0.7717511519788892,-0.2898333870871971,460.4380941960496,0.9984760080037725
y_pred__1_2,-0.5800346297043657,0.07911499850650053,0.0034709932861015738,-0.7475746382519022,-0.4353433378275503,410.94474394609074,1.0111953453894218
y_pred__1_3,-1.2473084878925322,0.16828951668152772,0.008946599100787501,-1.586109013635014,-0.9080187506323559,226.13957261967772,1.0084406641402053
y_pred__1_4,0.41377067325413014,0.08114416362375969,0.0043248405857009035,0.2752357695153604,0.592823106889652,300.62342409123806,1.003779669107001
y_pred__2_0,-0.4027537705325495,0.028303743376754918,0.0011802561530617297,-0.4536419829666254,-0.33960070077379934,683.5132149147593,0.9986188266360305
y_pred__2_1,0.5205305877068064,0.0650849898674973,0.0024412632097903252,0.3926507526223774,0.6502235337155048,872.7302385845716,0.9983462033863085
y_pred__2_2,0.36363945900524897,0.04527306761066873,0.0018156044253365936,0.2687143163041372,0.45111991914839483,613.262175552713,0.9980872931006872
y_pred__2_3,-0.46329149788643476,0.08642470558517958,0.0033475658943688627,-0.6324968412092125,-0.29865271806461074,474.5558156821149,0.9998191760511099
y_pred__2_4,-0.25359059067875817,0.04152276857762055,0.001668971072348618,-0.32804343492351273,-0.16885311714808957,545.9171180706181,0.9981695682885635
y_pred__3_0,-0.3890910180229689,0.11582482305600487,0.005671242927956927,-0.611636404683091,-0.1508737079916509,401.19550639450335,1.003486022737893
y_pred__3_1,0.9795908312135664,0.26133051377227823,0.011673489967527704,0.49769347051778695,1.476548189169651,497.45653765735915,0.9980263362103432
y_pred__3_2,0.5192989223627706,0.17835603972706604,0.009100225433148658,0.2202257474225253,0.9113688683415159,272.94461246119505,1.0107242304197037
y_pred__3_3,-0.32868056662909867,0.35926495836292904,0.02134291168085973,-1.0151029109433347,0.3523734510818715,194.5717526471586,1.0043321862146153
y_pred__3_4,-0.45727083608798524,0.16530078082521593,0.009558209682531005,-0.786714331557025,-0.14448121728963229,214.5572468708609,1.0054500890236286
y_pred__4_0,0.7305366151076742,0.01730216554638823,0.0009236631260020641,0.6944329683989948,0.763942466432055,341.5244814192506,0.9995857459666319
y_pred__4_1,0.3977359929378403,0.03509629450635326,0.001652874774679076,0.3307140860700976,0.4617939099403515,378.2283981196073,0.9991886400896787
y_pred__4_2,0.28677153165595504,0.026177305903775157,0.001382538488020502,0.24095524083486583,0.3416400779558187,296.1004390909636,1.0036869308571876
y_pred__4_3,0.03125455953984769,0.05000967287821529,0.002946207607059972,-0.05997443153842662,0.1297175615630173,231.4790218214575,0.9980319925456592
y_pred__4_4,-0.700398413243471,0.02379592801981172,0.0013759799713861554,-0.7444446786062852,-0.655361171665316,214.91710304893755,0.9984197954602309
y_pred__5_0,0.8200455508283265,0.01687966924942326,0.0009826930643948583,0.7855266625200128,0.8507171315445808,269.0736013293561,0.9982902195728016
y_pred__5_1,0.4031278012095674,0.03315078984187902,0.0016969323314587783,0.3353413141672593,0.46219394939115416,331.57124154749135,1.005496382099894
y_pred__5_2,0.17181992152819897,0.02298783899493177,0.001171789096449697,0.12253720305020492,0.2126129554287746,343.74006842025733,0.9983401906919048
y_pred__5_3,0.5653006375264336,0.04837724726649123,0.0024792546205939835,0.46377695508322636,0.6564952379251456,338.8775948416673,0.9985952146022056
y_pred__5_4,-0.7630885768191544,0.021837846610911392,0.0011291473040952807,-0.8011305132553732,-0.7231511767559116,293.490230849661,0.9983677954007905
y_pred__6_0,1.4911014215874603,0.09851815434309644,0.005893347990557902,1.3172395529248637,1.6854410612966282,273.1655526339584,0.9981159151354819
y_pred__6_1,0.06491931658164861,0.18921996142479436,0.009368153645450983,-0.3138965513010997,0.3957343047073177,360.4161634740814,1.0027789315314584
y_pred__6_2,0.07888944847332459,0.13474442423941918,0.00665820845560563,-0.18056830642754707,0.3465410038301697,367.60470138902076,0.9984240888555432
y_pred__6_3,1.168289312828914,0.2729155910608332,0.013829588281825803,0.6586935464480822,1.705069796879018,320.592004936853,0.9996870939867862
y_pred__6_4,-0.8253590390200732,0.12855502815787123,0.006441514228756119,-1.061421902686424,-0.5808324610265524,300.76153374496135,0.9990901090695969
y_pred__7_0,1.4409593327616015,0.028280893360224397,0.0017009625447688436,1.3923056985898932,1.5000519468810078,262.847487085402,0.9982118059066523
y_pred__7_1,0.5961277621327487,0.05356915528674329,0.0027085041617126546,0.4962495748930548,0.6911505682595537,314.0090593502338,1.0047298556547228
y_pred__7_2,0.38947437124502604,0.038565855183799486,0.001971401398180284,0.31290670723863023,0.46274572515601337,330.98966436289305,0.9981874816183528
y_pred__7_3,0.970011603247679,0.07800767577544351,0.004046629854888873,0.8252339675657044,1.1144138201453724,310.05871944163016,1.0000077156914047
y_pred__7_4,-0.7879752954626962,0.03710444410810995,0.0019778541301785943,-0.8570462332910244,-0.715612902625094,261.6296931623943,0.99910794241118
y_pred__8_0,0.5002762850439739,0.06173711243184612,0.0035177944838545782,0.3652207273829312,0.6054915744008503,268.65923541847246,1.0029212349779197
y_pred__8_1,0.12431342076476175,0.12370221161169069,0.005828609478309915,-0.08728021968545323,0.38072389817150476,354.6429148351978,1.0025377784924778
y_pred__8_2,0.032921103267544695,0.09013324934077592,0.004880480131336652,-0.1495050212828958,0.21005750536771867,288.0780147235849,1.0039481647964268
y_pred__8_3,0.01800448077817937,0.18145489491911626,0.010189107661448163,-0.3244451241260621,0.3807801820245883,262.2177578930384,0.9980075844028271
y_pred__8_4,-0.6769547387214117,0.08729058386360583,0.004929573411398569,-0.8510119903646359,-0.507631219814365,227.2819298854259,0.9986606849583597
y_pred__9_0,-0.13954607000352443,0.030539615725579977,0.0014865820247929025,-0.19380247574827336,-0.07304296401872136,448.75693847752353,1.0038868586378629
y_pred__9_1,-0.2463049640871721,0.06854239496674763,0.0030530607810542185,-0.37486412640619093,-0.12118097947409828,513.2245990150108,0.9982783184654835
y_pred__9_2,-0.06730239867652262,0.047416678644848755,0.002469754430701295,-0.15287178488594072,0.026863041477949934,299.2530791606429,1.0077532948857304
y_pred__9_3,-0.6439097712018403,0.09467872208129202,0.005621016942429697,-0.8242414022707646,-0.4619865666140607,191.95770349838125,1.0006439615868148
y_pred__9_4,-0.3958694835609247,0.043076934670114954,0.0024500547078976547,-0.46859257842637414,-0.3005759245444697,220.7869948618645,1.004370332786676
y_pred__10_0,-0.9887537845515333,0.017936556868788384,0.0008057189020771961,-1.026312001088209,-0.955199700052883,738.9055570375307,0.9982580876149041
y_pred__10_1,-0.29644752494900206,0.041598005839804796,0.0017076800056111748,-0.37737726640137575,-0.21718392847708345,729.6820594981326,0.9981672284181446
y_pred__10_2,-0.2159146716219323,0.025874867062101646,0.0010013409613590751,-0.2630222149235596,-0.16835367103270554,659.070871821561,0.9979994649281385
y_pred__10_3,-0.9738618315935911,0.05520355746183982,0.0025644081646044245,-1.0825581304036416,-0.87274644522509,371.64890931441164,1.003111643830853
y_pred__10_4,0.45622611140549557,0.02518307900817737,0.0011444254624717533,0.4013594451638,0.5034741931438387,362.86887639707913,0.998313268974172
y_pred__11_0,-1.0220772626541932,0.054199031637182545,0.0023326126427509644,-1.1340310770057649,-0.9205261426959226,545.8763448643907,0.998383641489885
y_pred__11_1,-0.7194083204425253,0.12126921296980034,0.004927003323781419,-0.9213845574844574,-0.4475136092908698,591.2730556095865,0.9993513666512663
y_pred__11_2,-0.3467713314511666,0.07967527463573007,0.0033036070050634333,-0.4845055218820521,-0.18873680431336232,628.2520210163703,1.0018897326567926
y_pred__11_3,-1.0293776292825059,0.15652405136049408,0.0077509585879875584,-1.3707325375956882,-0.7411003504585232,448.0311067842382,0.998621578710307
y_pred__11_4,0.6478457140117627,0.07790492828010137,0.0038506895645827035,0.5031409678029619,0.8049717939258229,445.8840675076795,1.0003528076846744
eta1,3.1352913589539013,1.8095050788457845,0.1464879799789301,0.964204298125148,6.726694944685093,66.47080169045722,1.009810307528311
lengthscale__0,0.39456665386062784,0.007673970804881598,0.000294479825967544,0.3801427725085831,0.40965105413399916,981.6267543385462,0.9980338641024415
lengthscale__1,12.210252445107361,1.5550249079914473,0.06333993064045965,9.45534952668841,15.269415151329058,653.1959394736162,0.9980709573074921
lengthscale__2,6.206882147105957,0.7870610271918039,0.034653823508671466,4.795403055338152,7.698987534790932,521.4460538436915,1.0026435036152435
lengthscale__3,5.502527604398609,0.45365444864421617,0.02001740887817169,4.679108913417067,6.34780031556817,565.2132181489715,0.9995545805728269
lengthscale__4,6.4368124730984295,0.4334806062968675,0.017151760651776256,5.617703817611108,7.263883931090926,561.4948595147438,1.0063855948628626
lengthscale__5,4.316035741355231,0.2488811753281292,0.011399156746494239,3.8501092050043595,4.763453890601605,496.79235057985005,0.9999695419647996
lengthscale__6,5.364226631683814,0.28803266870963723,0.012258230424864049,4.87838436818674,5.986562510039498,459.7277268564247,0.9980749751653771
lengthscale__7,22.28711738963359,2.3783802071921776,0.08441783414716536,18.595431223579777,28.434717580601394,930.4017832617322,0.998300917084989
lengthscale__8,6.929286520703297,0.4157311636059614,0.018454107757944448,6.229480471779735,7.766746428367232,446.1991900516878,0.998549972342247
lengthscale__9,5.58207647051374,0.37508869328319877,0.016828579540380285,4.871930483073818,6.280438131612246,491.2823962373601,0.9980697354676352
tf__0,0.48559832508413553,0.0008656430348192528,2.8621406853465735e-05,0.48377545338621875,0.4870705977699163,819.7059527852347,0.9980968815504115
tf__1,0.5032532216590425,0.0004580332753964155,1.437720177151658e-05,0.5023344785254723,0.5040750176006311,1355.8081545708224,0.9988405590159706
tf__2,0.5380628113665242,0.0012092284757522873,4.750882370634542e-05,0.5357513144166253,0.5403126999965785,568.3153188811134,0.998305209903552
tf__3,0.5251291844353878,0.023742902842338893,0.0011145693446736609,0.47395758701314655,0.5682104155365171,408.3462255590145,0.9983407272704207
tf__4,0.49146917147316815,0.002697254661984152,9.651482954132405e-05,0.4860957752168217,0.4970056605904856,954.5278040074193,0.9980056682628451
tf__5,0.5059650776470896,0.005296326273034609,0.00024330976824663716,0.4937348970671811,0.5148062633621879,389.1964183584454,0.9990865868663391
sigma1,0.002347629945423356,0.0013514099464285194,0.00010966673231162028,0.0007520809493503276,0.0049109786429657395,66.50055741674736,1.0095392664829923
colcholpacked__0,0.9992298621616369,0.45433829221574207,0.03394873990863273,0.18957725277171525,1.770655078913874,103.66882193058181,1.001215690326827
colcholpacked__1,0.4337661124545733,0.23988645638621203,0.016060395941226126,0.07279046829941478,0.8936914303363481,126.77071984691473,1.00192918447495
colcholpacked__2,2.285588270718576,1.0339398105133253,0.0764658068570926,0.4975045730330519,4.080875214514207,105.00336576450202,1.0009977582365068
colcholpacked__3,0.1835246432502325,0.1152362400074308,0.006876674915117847,0.01331434003802292,0.43155440392181377,186.26983851554903,1.0032256848281766
colcholpacked__4,0.024064014029821727,0.08296627162216437,0.003208045183361672,-0.10940910888988412,0.21329091779678444,705.5956306069943,0.9981444424147068
colcholpacked__5,1.4995745533353795,0.6787735902890559,0.05055435886199259,0.2892741443546564,2.619101387911395,103.1634748942227,1.00157853107235
colcholpacked__6,0.43749376359762976,0.25890502677321475,0.016171911166716475,0.02490456372886099,0.962424584058959,148.58519902070162,0.9982191921524958
colcholpacked__7,0.09449936811767155,0.17900539758107142,0.008147646662005502,-0.23044073921332353,0.49807093890917653,406.1847290765167,1.002429993834523
colcholpacked__8,0.07161931598253767,0.1808801301953312,0.007921487765836056,-0.28159280923607377,0.4230854284642442,667.7606711491896,1.0000965657186083
colcholpacked__9,3.030411239993798,1.3741702663323434,0.10246022568109936,0.5800905540296366,5.385969709278563,102.35931122894259,1.0020618953069114
colcholpacked__10,-0.02067090004167777,0.08222018126421288,0.003236431791726399,-0.19205323400720373,0.15158767408576046,663.7216259104982,0.9981490055152523
colcholpacked__11,0.009393108861433123,0.08764561185124928,0.004225061709661135,-0.14899244935565828,0.20694622613347102,328.0997682604182,1.0049175669136514
colcholpacked__12,-0.03565053982736387,0.08747910563068848,0.0034079250460122175,-0.2353425671074529,0.12255018566668652,515.7818454057143,1.00651080902408
colcholpacked__13,0.8325341776732674,0.3793196321000544,0.028039289384115346,0.16659291758858127,1.5537820625627745,103.2840343230949,1.0034993172929751
colcholpacked__14,1.2127750403250954,0.5499345581912038,0.0414430790187407,0.29563540275635225,2.2543352674791404,99.1749640296634,1.0029762238741595
